legacy_row_id,legacy_edge_id,source_id,target_id,legacy_relation_scope,legacy_relation_kind,disposition,work_relation_id,migration_note,legacy_reason
connection-000024,spider-man-homecoming-2017 -> avengers-infinity-war-2018,spider-man-homecoming-2017,avengers-infinity-war-2018,crossover,crossover,migrated_explicit_relation,work-relation-spider-man-homecoming-2017-avengers-infinity-war-2018-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000025,avengers-endgame-2019 -> spider-man-far-from-home-2019,avengers-endgame-2019,spider-man-far-from-home-2019,story,aftermath,migrated_explicit_relation,work-relation-avengers-endgame-2019-spider-man-far-from-home-2019-aftermath,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression. / Far From Home explicitly follows Endgame.
connection-000026,spider-man-far-from-home-2019 -> spider-man-no-way-home-2021,spider-man-far-from-home-2019,spider-man-no-way-home-2021,story,sequel,migrated_explicit_relation,work-relation-spider-man-far-from-home-2019-spider-man-no-way-home-2021-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same lead/team continuity or explicit sequel/crossover progression.
connection-000027,spider-man-no-way-home-2021 -> spider-man-brand-new-day-2026-07-31,spider-man-no-way-home-2021,spider-man-brand-new-day-2026-07-31,story,story_link,migrated_explicit_relation,work-relation-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Sony公式がNo Way Homeの出来事から4年後の新章と明示。
connection-000028,doctor-strange-2016 -> avengers-infinity-war-2018,doctor-strange-2016,avengers-infinity-war-2018,crossover,crossover,migrated_explicit_relation,work-relation-doctor-strange-2016-avengers-infinity-war-2018-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Doctor Strange joins the Avengers conflict.
connection-000029,spider-man-no-way-home-2021 -> doctor-strange-in-the-multiverse-of-madness-2022,spider-man-no-way-home-2021,doctor-strange-in-the-multiverse-of-madness-2022,crossover,crossover,migrated_explicit_relation,work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Shared multiverse consequences; not a direct sequel.
connection-000030,wandavision-2021 -> doctor-strange-in-the-multiverse-of-madness-2022,wandavision-2021,doctor-strange-in-the-multiverse-of-madness-2022,story,story_link,migrated_explicit_relation,work-relation-wandavision-2021-doctor-strange-in-the-multiverse-of-madness-2022-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Wanda's post-WandaVision arc continues.
connection-000031,wandavision-2021 -> agatha-all-along-2024,wandavision-2021,agatha-all-along-2024,story,spinoff,migrated_explicit_relation,work-relation-wandavision-2021-agatha-all-along-2024-spinoff,Legacy relation retained as explicit v5 relation seed pending content audit.,Agatha branch.
connection-000032,agatha-all-along-2024 -> visionquest-2026-10-14,agatha-all-along-2024,visionquest-2026-10-14,story,sequel,migrated_explicit_relation,work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Marvel calls VisionQuest the final installment of the trilogy begun by WandaVision and continued by Agatha.
connection-000033,wandavision-2021 -> visionquest-2026-10-14,wandavision-2021,visionquest-2026-10-14,story,sequel,migrated_explicit_relation,work-relation-wandavision-2021-visionquest-2026-10-14-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Vision continuation; Marvel explicitly frames the three-title trilogy.
connection-000034,wandavision-2021 -> the-marvels-2023,wandavision-2021,the-marvels-2023,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Monica Rambeau continues into The Marvels.
connection-000035,ms-marvel-2022 -> the-marvels-2023,ms-marvel-2022,the-marvels-2023,story,story_link,migrated_explicit_relation,work-relation-ms-marvel-2022-the-marvels-2023-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Kamala Khan continues into The Marvels.
connection-000036,captain-marvel-2019 -> the-marvels-2023,captain-marvel-2019,the-marvels-2023,story,sequel,migrated_explicit_relation,work-relation-captain-marvel-2019-the-marvels-2023-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Carol Danvers continues into The Marvels.
connection-000037,hawkeye-2021 -> echo-2024,hawkeye-2021,echo-2024,story,spinoff,migrated_explicit_relation,work-relation-hawkeye-2021-echo-2024-spinoff,Legacy relation retained as explicit v5 relation seed pending content audit.,Maya Lopez/Fisk branch.
connection-000038,hawkeye-2021 -> daredevil-born-again-s1-2025,hawkeye-2021,daredevil-born-again-s1-2025,story,lead_in,migrated_explicit_relation,work-relation-hawkeye-2021-daredevil-born-again-s1-2025-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Fisk re-enters MCU before Born Again.
connection-000039,echo-2024 -> daredevil-born-again-s1-2025,echo-2024,daredevil-born-again-s1-2025,story,story_link,migrated_explicit_relation,work-relation-echo-2024-daredevil-born-again-s1-2025-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Fisk/Daredevil street branch.
connection-000040,daredevil-born-again-s1-2025 -> daredevil-born-again-s2-2026,daredevil-born-again-s1-2025,daredevil-born-again-s2-2026,story,sequel,migrated_explicit_relation,work-relation-daredevil-born-again-s1-2025-daredevil-born-again-s2-2026-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Season continuation.
connection-000041,daredevil-born-again-s2-2026 -> daredevil-born-again-s3-tba,daredevil-born-again-s2-2026,daredevil-born-again-s3-tba,story,sequel,migrated_explicit_relation,work-relation-daredevil-born-again-s2-2026-daredevil-born-again-s3-tba-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Marvel lists Season 3.
connection-000042,the-punisher-s2-2019 -> the-punisher-one-last-kill-2026-05-12,the-punisher-s2-2019,the-punisher-one-last-kill-2026-05-12,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Jon Bernthal's Frank Castle continuation.
connection-000043,daredevil-born-again-s2-2026 -> the-punisher-one-last-kill-2026-05-12,daredevil-born-again-s2-2026,the-punisher-one-last-kill-2026-05-12,crossover,crossover,migrated_explicit_relation,work-relation-daredevil-born-again-s2-2026-the-punisher-one-last-kill-2026-05-12-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Same current Marvel Television street-level branch.
connection-000044,black-panther-2018 -> black-panther-wakanda-forever-2022,black-panther-2018,black-panther-wakanda-forever-2022,story,sequel,migrated_explicit_relation,work-relation-black-panther-2018-black-panther-wakanda-forever-2022-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Wakanda sequel.
connection-000045,black-panther-wakanda-forever-2022 -> ironheart-2025,black-panther-wakanda-forever-2022,ironheart-2025,story,spinoff,migrated_explicit_relation,work-relation-black-panther-wakanda-forever-2022-ironheart-2025-spinoff,Legacy relation retained as explicit v5 relation seed pending content audit.,Riri Williams introduced in Wakanda Forever.
connection-000046,black-panther-2018 -> eyes-of-wakanda-2025,black-panther-2018,eyes-of-wakanda-2025,world_lore,world_lore,migrated_explicit_relation,work-relation-black-panther-2018-eyes-of-wakanda-2025-world-lore,Legacy relation retained as explicit v5 relation seed pending content audit.,Animated Wakandan historical stories; not a sequel.
connection-000047,black-widow-2021 -> hawkeye-2021,black-widow-2021,hawkeye-2021,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Yelena's post-Black Widow story continues in Hawkeye.
connection-000048,black-widow-2021 -> thunderbolts-new-avengers-2025,black-widow-2021,thunderbolts-new-avengers-2025,character,lead_in,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,"Yelena, Red Guardian, Taskmaster."
connection-000049,the-falcon-and-the-winter-soldier-2021 -> thunderbolts-new-avengers-2025,the-falcon-and-the-winter-soldier-2021,thunderbolts-new-avengers-2025,story,lead_in,migrated_explicit_relation,work-relation-the-falcon-and-the-winter-soldier-2021-thunderbolts-new-avengers-2025-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Bucky Barnes and John Walker.
connection-000050,ant-man-and-the-wasp-2018 -> thunderbolts-new-avengers-2025,ant-man-and-the-wasp-2018,thunderbolts-new-avengers-2025,story,lead_in,migrated_explicit_relation,work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Ghost.
connection-000051,the-falcon-and-the-winter-soldier-2021 -> captain-america-brave-new-world-2025,the-falcon-and-the-winter-soldier-2021,captain-america-brave-new-world-2025,story,story_link,migrated_explicit_relation,work-relation-the-falcon-and-the-winter-soldier-2021-captain-america-brave-new-world-2025-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Sam Wilson's Captain America arc.
connection-000052,loki-s1-2021 -> loki-s2-2023,loki-s1-2021,loki-s2-2023,story,sequel,migrated_explicit_relation,work-relation-loki-s1-2021-loki-s2-2023-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Season continuation.
connection-000053,what-if-s1-2021 -> what-if-s2-2023,what-if-s1-2021,what-if-s2-2023,story,sequel,migrated_explicit_relation,work-relation-what-if-s1-2021-what-if-s2-2023-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Season continuation.
connection-000054,what-if-s2-2023 -> what-if-s3-2024,what-if-s2-2023,what-if-s3-2024,story,sequel,migrated_explicit_relation,work-relation-what-if-s2-2023-what-if-s3-2024-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Season continuation.
connection-000055,what-if-s1-2021 -> marvel-zombies-s1-2025,what-if-s1-2021,marvel-zombies-s1-2025,story,spinoff,migrated_explicit_relation,work-relation-what-if-s1-2021-marvel-zombies-s1-2025-spinoff,Legacy relation retained as explicit v5 relation seed pending content audit.,Marvel Zombies spins out of the zombie What If...? concept.
connection-000056,the-fantastic-four-first-steps-2025 -> avengers-doomsday-2026-12-18,the-fantastic-four-first-steps-2025,avengers-doomsday-2026-12-18,story,lead_in,migrated_explicit_relation,work-relation-the-fantastic-four-first-steps-2025-avengers-doomsday-2026-12-18-lead-in,Legacy relation retained as explicit v5 relation seed pending content audit.,Kevin Feige explicitly says First Steps directly leads into Doomsday.
connection-000057,avengers-doomsday-2026-12-18 -> avengers-secret-wars-2027-12-17,avengers-doomsday-2026-12-18,avengers-secret-wars-2027-12-17,story,story_link,migrated_explicit_relation,work-relation-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Officially paired Avengers event films.
connection-000058,deadpool-2016 -> deadpool-2-2018,deadpool-2016,deadpool-2-2018,story,sequel,migrated_explicit_relation,work-relation-deadpool-2016-deadpool-2-2018-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Same Fox Deadpool continuity.
connection-000059,deadpool-2-2018 -> deadpool-wolverine-2024,deadpool-2-2018,deadpool-wolverine-2024,story,story_link,migrated_explicit_relation,work-relation-deadpool-2-2018-deadpool-wolverine-2024-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Wade's film series continues.
connection-000060,logan-2017 -> deadpool-wolverine-2024,logan-2017,deadpool-wolverine-2024,character,lead_in,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Wolverine/X-23 legacy is central to the film.
connection-000061,deadpool-wolverine-2024 -> avengers-doomsday-2026-12-18,deadpool-wolverine-2024,avengers-doomsday-2026-12-18,crossover,crossover,migrated_explicit_relation,work-relation-deadpool-wolverine-2024-avengers-doomsday-2026-12-18-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Feige says D&W scratched the surface of revisiting X-Men and Doomsday goes deeper; do not label as direct sequel.
connection-000062,spider-man-2002 -> spider-man-2-2004,spider-man-2002,spider-man-2-2004,story,sequel,migrated_explicit_relation,work-relation-spider-man-2002-spider-man-2-2004-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Raimi trilogy.
connection-000063,spider-man-2-2004 -> spider-man-3-2007,spider-man-2-2004,spider-man-3-2007,story,sequel,migrated_explicit_relation,work-relation-spider-man-2-2004-spider-man-3-2007-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Raimi trilogy.
connection-000064,the-amazing-spider-man-2012 -> the-amazing-spider-man-2-2014,the-amazing-spider-man-2012,the-amazing-spider-man-2-2014,story,sequel,migrated_explicit_relation,work-relation-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Webb duology.
connection-000065,spider-man-3-2007 -> spider-man-no-way-home-2021,spider-man-3-2007,spider-man-no-way-home-2021,crossover,crossover,migrated_explicit_relation,work-relation-spider-man-3-2007-spider-man-no-way-home-2021-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Tobey Maguire's Spider-Man returns.
connection-000066,the-amazing-spider-man-2-2014 -> spider-man-no-way-home-2021,the-amazing-spider-man-2-2014,spider-man-no-way-home-2021,crossover,crossover,migrated_explicit_relation,work-relation-the-amazing-spider-man-2-2014-spider-man-no-way-home-2021-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Andrew Garfield's Spider-Man returns.
connection-000067,venom-let-there-be-carnage-2021 -> spider-man-no-way-home-2021,venom-let-there-be-carnage-2021,spider-man-no-way-home-2021,crossover,crossover,migrated_explicit_relation,work-relation-venom-let-there-be-carnage-2021-spider-man-no-way-home-2021-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Venom/Eddie crosses into MCU space around No Way Home; show as a dotted multiverse edge.
connection-000068,daredevil-s3-2018 -> spider-man-no-way-home-2021,daredevil-s3-2018,spider-man-no-way-home-2021,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Charlie Cox's Matt Murdock appears.
connection-000069,daredevil-s3-2018 -> daredevil-born-again-s1-2025,daredevil-s3-2018,daredevil-born-again-s1-2025,story,sequel,migrated_explicit_relation,work-relation-daredevil-s3-2018-daredevil-born-again-s1-2025-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Matt/Fisk/Karen/Foggy continuity carried forward.
connection-000070,jessica-jones-s3-2019 -> daredevil-born-again-s2-2026,jessica-jones-s3-2019,daredevil-born-again-s2-2026,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Jessica Jones returns in the current street-level branch.
connection-000071,daredevil-s2-2016 -> the-defenders-2017,daredevil-s2-2016,the-defenders-2017,crossover,crossover,migrated_explicit_relation,work-relation-daredevil-s2-2016-the-defenders-2017-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Four Netflix hero branches converge in The Defenders.
connection-000072,jessica-jones-s1-2015 -> the-defenders-2017,jessica-jones-s1-2015,the-defenders-2017,crossover,crossover,migrated_explicit_relation,work-relation-jessica-jones-s1-2015-the-defenders-2017-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Four Netflix hero branches converge in The Defenders.
connection-000073,luke-cage-s1-2016 -> the-defenders-2017,luke-cage-s1-2016,the-defenders-2017,crossover,crossover,migrated_explicit_relation,work-relation-luke-cage-s1-2016-the-defenders-2017-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Four Netflix hero branches converge in The Defenders.
connection-000074,iron-fist-s1-2017 -> the-defenders-2017,iron-fist-s1-2017,the-defenders-2017,crossover,crossover,migrated_explicit_relation,work-relation-iron-fist-s1-2017-the-defenders-2017-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Four Netflix hero branches converge in The Defenders.
connection-000075,the-defenders-2017 -> daredevil-s3-2018,the-defenders-2017,daredevil-s3-2018,story,aftermath,migrated_explicit_relation,work-relation-the-defenders-2017-daredevil-s3-2018-aftermath,Legacy relation retained as explicit v5 relation seed pending content audit.,Daredevil's post-Defenders story.
connection-000076,daredevil-s2-2016 -> the-punisher-s1-2017,daredevil-s2-2016,the-punisher-s1-2017,story,spinoff,migrated_explicit_relation,work-relation-daredevil-s2-2016-the-punisher-s1-2017-spinoff,Legacy relation retained as explicit v5 relation seed pending content audit.,Frank Castle introduced in Daredevil S2.
connection-000077,jessica-jones-s1-2015 -> luke-cage-s1-2016,jessica-jones-s1-2015,luke-cage-s1-2016,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Luke Cage spins out from Jessica Jones connection.
connection-000078,blade-trinity-2004 -> deadpool-wolverine-2024,blade-trinity-2004,deadpool-wolverine-2024,crossover,crossover,migrated_explicit_relation,work-relation-blade-trinity-2004-deadpool-wolverine-2024-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Wesley Snipes' Blade legacy is explicitly brought into Deadpool & Wolverine.
connection-000079,elektra-2005 -> deadpool-wolverine-2024,elektra-2005,deadpool-wolverine-2024,crossover,crossover,migrated_explicit_relation,work-relation-elektra-2005-deadpool-wolverine-2024-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Jennifer Garner's Elektra legacy is explicitly brought into Deadpool & Wolverine.
connection-000080,fantastic-four-rise-of-the-silver-surfer-2007 -> deadpool-wolverine-2024,fantastic-four-rise-of-the-silver-surfer-2007,deadpool-wolverine-2024,crossover,crossover,migrated_explicit_relation,work-relation-fantastic-four-rise-of-the-silver-surfer-2007-deadpool-wolverine-2024-crossover,Legacy relation retained as explicit v5 relation seed pending content audit.,Chris Evans' Human Torch legacy is explicitly brought into Deadpool & Wolverine.
connection-000081,x-men-the-animated-series-19921997 -> x-men-97-s1-2024,x-men-the-animated-series-19921997,x-men-97-s1-2024,story,sequel,migrated_explicit_relation,work-relation-x-men-the-animated-series-19921997-x-men-97-s1-2024-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Marvel states X-Men '97 explores new stories in the iconic '90s timeline of the original series.
connection-000082,x-men-97-s1-2024 -> x-men-97-s2-2026-07-01,x-men-97-s1-2024,x-men-97-s2-2026-07-01,story,sequel,migrated_explicit_relation,work-relation-x-men-97-s1-2024-x-men-97-s2-2026-07-01-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Season continuation.
connection-000083,iron-man-3-2013 -> all-hail-the-king-2014,iron-man-3-2013,all-hail-the-king-2014,story,sequel,migrated_explicit_relation,work-relation-iron-man-3-2013-all-hail-the-king-2014-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Trevor Slattery follow-up.
connection-000084,all-hail-the-king-2014 -> shang-chi-and-the-legend-of-the-ten-rings-2021,all-hail-the-king-2014,shang-chi-and-the-legend-of-the-ten-rings-2021,story,story_link,migrated_explicit_relation,work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Trevor Slattery and Ten Rings/Mandarin thread is revisited.
connection-000085,shang-chi-and-the-legend-of-the-ten-rings-2021 -> wonder-man-s1-2026,shang-chi-and-the-legend-of-the-ten-rings-2021,wonder-man-s1-2026,character,character_continuity,appearance_derived_pending_audit,,Character-only legacy edge moves to appearances/portrayals; original edge metadata remains in this ledger.,Trevor Slattery continues into Wonder Man; Marvel published an official Trevor Slattery MCU watch guide.
connection-000086,the-avengers-2012 -> item-47-2012,the-avengers-2012,item-47-2012,story,sequel,migrated_explicit_relation,work-relation-the-avengers-2012-item-47-2012-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Post-Avengers SHIELD cleanup story.
connection-000087,captain-america-the-first-avenger-2011 -> agent-carter-one-shot-2013,captain-america-the-first-avenger-2011,agent-carter-one-shot-2013,story,story_link,migrated_explicit_relation,work-relation-captain-america-the-first-avenger-2011-agent-carter-one-shot-2013-story-link,Legacy relation retained as explicit v5 relation seed pending content audit.,Peggy Carter continuation.
connection-000088,iron-man-2-2010 -> iron-man-3-2013,iron-man-2-2010,iron-man-3-2013,story,sequel,migrated_explicit_relation,work-relation-iron-man-2-2010-iron-man-3-2013-sequel,Legacy relation retained as explicit v5 relation seed pending content audit.,Iron Man trilogy direct franchise line.
