work_id,title_ja,title_en,title_official,release,release_raw,format,status,priority,branch_ja,branch_en,classification,ja_status,japan_date,japan_type,source_url,source_note,notes,chronology_lane,chronology_order,chronology_track,chronology_certainty,chronology_note,release_sort_date,release_display_date,release_kind,release_certainty,release_precision,release_source_note,aliases_ja,title_audit_status,title_audit_source_url,title_last_verified,title_management_note,stable_id_note
avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,Avengers: Age of Ultron,アベンジャーズ／エイジ・オブ・ウルトロン,2015年,2015,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,170,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2015-05-01,2015.05.01,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
ant-man-2015,アントマン,Ant-Man,アントマン,2015年,2015,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 2,verified-current,,,,,,mcu-main,180,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2015-07-17,2015.07.17,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,Captain America: Civil War,シビル・ウォー／キャプテン・アメリカ,2016年,2016,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,230,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2016-05-06,2016.05.06,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
doctor-strange-2016,ドクター・ストレンジ,Doctor Strange,ドクター・ストレンジ,2016年,2016,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,established,,,,,,mcu-main,280,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2016-11-04,2016.11.04,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
guardians-of-the-galaxy-vol-2-2017,ガーディアンズ・オブ・ギャラクシー：リミックス,Guardians of the Galaxy Vol. 2,ガーディアンズ・オブ・ギャラクシー：リミックス,2017年,2017,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,120,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2017-05-05,2017.05.05,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
spider-man-homecoming-2017,スパイダーマン：ホームカミング,Spider-Man: Homecoming,スパイダーマン：ホームカミング,2017年,2017,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,260,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2017-07-07,2017.07.07,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
thor-ragnarok-2017,マイティ・ソー バトルロイヤル,Thor: Ragnarok,マイティ・ソー バトルロイヤル,2017年,2017,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,330,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2017-11-03,2017.11.03,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
black-panther-2018,ブラックパンサー,Black Panther,ブラックパンサー,2018年,2018,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,established,,,,,,mcu-main,250,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2018-02-16,2018.02.16,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,Avengers: Infinity War,アベンジャーズ／インフィニティ・ウォー,2018年,2018,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,370,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2018-04-27,2018.04.27,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
ant-man-and-the-wasp-2018,アントマン＆ワスプ,Ant-Man and the Wasp,アントマン＆ワスプ,2018年,2018,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,360,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2018-07-06,2018.07.06,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
captain-marvel-2019,キャプテン・マーベル,Captain Marvel,キャプテン・マーベル,2019年,2019,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,20,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2019-03-08,2019.03.08,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
avengers-endgame-2019,アベンジャーズ／エンドゲーム,Avengers: Endgame,アベンジャーズ／エンドゲーム,2019年,2019,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,380,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2019-04-26,2019.04.26,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,Spider-Man: Far From Home,スパイダーマン：ファー・フロム・ホーム,2019年,2019,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 3,verified-current,,,,,,mcu-main,440,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2019-07-02,2019.07.02,theatrical,confirmed,day,Original distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
black-widow-2021,ブラック・ウィドウ,Black Widow,ブラック・ウィドウ,2021年,2021,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,240,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-07-09,2021.07.09,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
shang-chi-and-the-legend-of-the-ten-rings-2021,シャン・チー／テン・リングスの伝説,Shang-Chi and the Legend of the Ten Rings,シャン・チー／テン・リングスの伝説,2021年,2021,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,420,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-09-03,2021.09.03,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
eternals-2021,エターナルズ,Eternals,エターナルズ,2021年,2021,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,450,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-11-05,2021.11.05,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,Spider-Man: No Way Home,スパイダーマン：ノー・ウェイ・ホーム,2021年,2021,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,445,time-crossing,confirmed,Far From Home の直接続編。マルチバース横断として通常線から区別。,2021-12-17,2021.12.17,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
doctor-strange-in-the-multiverse-of-madness-2022,ドクター・ストレンジ／マルチバース・オブ・マッドネス,Doctor Strange in the Multiverse of Madness,ドクター・ストレンジ／マルチバース・オブ・マッドネス,2022年,2022,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,460,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-05-06,2022.05.06,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
thor-love-and-thunder-2022,ソー：ラブ＆サンダー,Thor: Love and Thunder,ソー：ラブ＆サンダー,2022年,2022,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,530,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-07-08,2022.07.08,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
black-panther-wakanda-forever-2022,ブラックパンサー／ワカンダ・フォーエバー,Black Panther: Wakanda Forever,ブラックパンサー／ワカンダ・フォーエバー,2022年,2022,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 4,verified-current,,,,,,mcu-main,490,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-11-11,2022.11.11,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
ant-man-and-the-wasp-quantumania-2023,アントマン＆ワスプ：クアントマニア,Ant-Man and the Wasp: Quantumania,アントマン＆ワスプ：クアントマニア,2023年,2023,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,,,,mcu-main,560,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2023-02-17,2023.02.17,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
guardians-of-the-galaxy-vol-3-2023,ガーディアンズ・オブ・ギャラクシー：VOLUME 3,Guardians of the Galaxy Vol. 3,ガーディアンズ・オブ・ギャラクシー：VOLUME 3,2023年,2023,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,,,,mcu-main,570,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2023-05-05,2023.05.05,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
the-marvels-2023,マーベルズ,The Marvels,マーベルズ,2023年,2023,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,,,,mcu-main,590,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2023-11-10,2023.11.10,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
deadpool-wolverine-2024,デッドプール＆ウルヴァリン,Deadpool & Wolverine,デッドプール＆ウルヴァリン,2024年,2024,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,,,,mcu-main,620,time-crossing,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2024-07-26,2024.07.26,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
captain-america-brave-new-world-2025,キャプテン・アメリカ：ブレイブ・ニュー・ワールド,Captain America: Brave New World,キャプテン・アメリカ：ブレイブ・ニュー・ワールド,2025年,2025,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,,,,mcu-main,9000,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,2025-02-14,2025.02.14,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
thunderbolts-new-avengers-2025,サンダーボルツ*,Thunderbolts*,サンダーボルツ*,2025年,2025,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 5,verified-current,,,https://marvel.disney.co.jp/movie/thunderbolts,日本公式の作品タイトルは「サンダーボルツ*」。ニュー・アベンジャーズは作中で誕生するチーム名として別管理。,,mcu-main,9010,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,2025-05-02,2025.05.02,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,ニュー・アベンジャーズ; サンダーボルツ*（*ニュー・アベンジャーズ）,official-current,https://marvel.disney.co.jp/movie/thunderbolts,2026-08-26,作品タイトルとチーム名を分離。,
the-fantastic-four-first-steps-2025,ファンタスティック４：ファースト・ステップ,The Fantastic Four: First Steps,ファンタスティック４：ファースト・ステップ,2025年,2025,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 6,verified-current,2025年7月25日,日本劇場公開（日米同時）,https://marvel.disney.co.jp/movie/fantastic4/news/20250722_02,マーベル公式（日本）で劇場公開日を確認,,mcu-main,8500,multiverse,confirmed,Marvel公式が別宇宙・1960年代風世界として説明。,2025-07-25,2025.07.25,theatrical,confirmed,day,Marvel Studios / distributor U.S. theatrical release record.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
spider-man-brand-new-day-2026-07-31,スパイダーマン：ブランド・ニュー・デイ,Spider-Man: Brand New Day,スパイダーマン：ブランド・ニュー・デイ,2026年7月31日,2026-07-31,film,released,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 6,verified-current,2026年7月31日,日本劇場公開（日米同時）,https://www.sonypictures.jp/corp/press/2026-07-03,Sony Pictures Japan公式で邦題・7月31日公開・No Way Homeから4年後の新章を確認。,,mcu-main,9900,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,2026-07-31,2026.07.31,theatrical,confirmed,day,Marvel Studios current theatrical release calendar; U.S. opening date.,,official-current,https://www.sonypictures.jp/corp/press/2026-07-03,2026-08-26,邦題・公開日・No Way Homeから4年後の新章をSony公式で確認。,
avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,Avengers: Doomsday,アベンジャーズ／ドゥームズデイ,2026年12月18日,2026-12-18,film,announced/upcoming,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 6,verified-current,2026年12月18日,日本劇場公開（日米同時予定）,https://marvel.disney.co.jp/movie/avengers-doomsday,マーベル公式（日本）で劇場公開日・邦題を確認,,mcu-main,9910,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,2026-12-18,2026.12.18,theatrical,confirmed,day,Marvel Studios current theatrical release calendar; U.S. opening date.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
avengers-secret-wars-2027-12-17,Avengers: Secret Wars （邦題未発表）,Avengers: Secret Wars,Avengers: Secret Wars（邦題未発表）,2027年12月17日,2027-12-17,film,announced/upcoming,MAIN,マーベル・スタジオ映画,Marvel Studios films,Phase 6,unannounced,,,,,,mcu-main,9920,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,2027-12-17,2027.12.17,theatrical,confirmed,day,Marvel Studios current theatrical release calendar; U.S. opening date.,,official-en-current,https://www.marvel.com/movies/,2026-08-26,邦題未発表のため英題＋注記を維持。,
blade-mcu-tba-tba,Blade（MCU／邦題未発表）,"Blade (MCU, TBA)",Blade（MCU／邦題未発表）,未定,TBA,film,announced; undated on current Marvel movie page,SUPPLEMENT,マーベル・スタジオ映画,Marvel Studios films,phase/date unconfirmed,unannounced,,,,,Do not force into Phase 6 until Marvel explicitly fixes its phase/date.,mcu-main,9080,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,公開日未定,undated,undated,none,Disney removed the film from its dated release calendar; no replacement date is currently assigned. Existing graph node retained without inventing a date.,,official-list-reviewed,https://marvel.disney.co.jp/titlelist,2026-08-26,,
wandavision-2021,ワンダヴィジョン,WandaVision,ワンダヴィジョン,2021年,2021,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2021,verified-current,,,,,,mcu-main,410,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-01-15,2021.01.15,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
the-falcon-and-the-winter-soldier-2021,ファルコン＆ウィンター・ソルジャー,The Falcon and the Winter Soldier,ファルコン＆ウィンター・ソルジャー,2021年,2021,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2021,verified-current,,,,,,mcu-main,430,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-03-19,2021.03.19,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
loki-s1-2021,ロキ シーズン1,Loki S1,ロキ シーズン1,2021年,2021,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2021,verified-current,,,,,,mcu-main,390,time-crossing,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-06-09,2021.06.09,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
what-if-s1-2021,ホワット・イフ…？ シーズン1,What If...? S1,ホワット・イフ…？ シーズン1,2021年,2021,animation / multiverse,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2021,verified-current,,,,,,mcu-main,400,multiverse,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-08-11,2021.08.11,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
hawkeye-2021,ホークアイ,Hawkeye,ホークアイ,2021年,2021,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2021,verified-current,,,,,,mcu-main,470,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2021-11-24,2021.11.24,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
moon-knight-2022,ムーンナイト,Moon Knight,ムーンナイト,2022年,2022,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,verified-current,,,,,,mcu-main,480,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-03-30,2022.03.30,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
ms-marvel-2022,ミズ・マーベル,Ms. Marvel,ミズ・マーベル,2022年,2022,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,verified-current,,,,,,mcu-main,520,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-06-08,2022.06.08,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
i-am-groot-s1-2022,アイ・アム・グルート S1,I Am Groot S1,アイ・アム・グルート シーズン1,2022年,2022,animated shorts,released,SUPPLEMENT,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,verified-current,,,,,,mcu-main,130,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-08-10,2022.08.10,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
she-hulk-attorney-at-law-2022,シー・ハルク：ザ・アトーニー,She-Hulk: Attorney at Law,シー・ハルク：ザ・アトーニー,2022年,2022,live-action series,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,verified-current,,,,,,mcu-main,510,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-08-18,2022.08.18,streaming,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
werewolf-by-night-2022,ウェアウルフ・バイ・ナイト,Werewolf by Night,ウェアウルフ・バイ・ナイト,2022年,2022,Special Presentation,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,verified-current,,,,,,mcu-main,540,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-10-07,2022.10.07,special,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
the-guardians-of-the-galaxy-holiday-special-2022,ガーディアンズ・オブ・ギャラクシー ホリデー・スペシャル,The Guardians of the Galaxy Holiday Special,ガーディアンズ・オブ・ギャラクシー ホリデー・スペシャル,2022年,2022,Special Presentation,released,MAIN,Disney+／マーベル・テレビジョン／マーベル・アニメーション,Disney+ / Marvel Television / Marvel Animation,release-year 2022,established,,,,,,mcu-main,550,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,2022-11-25,2022.11.25,special,confirmed,day,Marvel/Disney+ official series or special premiere record.,,official-list-reviewed,https://www.marvel.com/tv-shows/,2026-08-26,,
