edge_id,source_id,source_title_ja,target_id,target_title_ja,type_ja,type_en,strength,render_class,importance,importance_ja,importance_note,reason,audit_status,audit_basis,audit_source_url,last_verified,management_notes,audit_confidence,audit_source_kind,relation_scope,directness,continuity_scope,render_relation_map,render_chronology,render_prewatch,evidence_level,proxy_note,relation_kind,prewatch_tier,prewatch_reason,prewatch_basis,prewatch_review_status,prewatch_last_reviewed
guardians-of-the-galaxy-vol-2-2017 -> avengers-infinity-war-2018,guardians-of-the-galaxy-vol-2-2017,ガーディアンズ・オブ・ギャラクシー：リミックス,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,チーム・クロスオーバー,team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-endgame-2019 -> the-guardians-of-the-galaxy-holiday-special-2022,avengers-endgame-2019,アベンジャーズ／エンドゲーム,the-guardians-of-the-galaxy-holiday-special-2022,ガーディアンズ・オブ・ギャラクシー ホリデー・スペシャル,チーム／キャラクター継続,team/character continuation,medium,dashed,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
the-guardians-of-the-galaxy-holiday-special-2022 -> guardians-of-the-galaxy-vol-3-2023,the-guardians-of-the-galaxy-holiday-special-2022,ガーディアンズ・オブ・ギャラクシー ホリデー・スペシャル,guardians-of-the-galaxy-vol-3-2023,ガーディアンズ・オブ・ギャラクシー：VOLUME 3,direct lead-in,direct lead-in,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,lead_in,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
ant-man-2015 -> captain-america-civil-war-2016,ant-man-2015,アントマン,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,キャラクター／チームのクロスオーバー,character/team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-america-civil-war-2016 -> ant-man-and-the-wasp-2018,captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,ant-man-and-the-wasp-2018,アントマン＆ワスプ,物語上の余波,plot aftermath,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,aftermath,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
ant-man-and-the-wasp-2018 -> avengers-endgame-2019,ant-man-and-the-wasp-2018,アントマン＆ワスプ,avengers-endgame-2019,アベンジャーズ／エンドゲーム,量子世界による物語接続,quantum-realm plot bridge,very strong,solid_thick,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,lead_in,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-endgame-2019 -> ant-man-and-the-wasp-quantumania-2023,avengers-endgame-2019,アベンジャーズ／エンドゲーム,ant-man-and-the-wasp-quantumania-2023,アントマン＆ワスプ：クアントマニア,キャラクター／世界観の継続,character/world continuation,medium,dashed,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,false,legacy-structured,,world_lore,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-homecoming-2017 -> avengers-infinity-war-2018,spider-man-homecoming-2017,スパイダーマン：ホームカミング,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,キャラクター／チームのクロスオーバー,character/team crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
avengers-endgame-2019 -> spider-man-far-from-home-2019,avengers-endgame-2019,アベンジャーズ／エンドゲーム,spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,直接的な後日談,direct aftermath,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression. / Far From Home explicitly follows Endgame.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,aftermath,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-far-from-home-2019 -> spider-man-no-way-home-2021,spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,直接の続編,direct sequel,very strong,solid_thick,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Same lead/team continuity or explicit sequel/crossover progression.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,high,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-no-way-home-2021 -> spider-man-brand-new-day-2026-07-31,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,spider-man-brand-new-day-2026-07-31,スパイダーマン：ブランド・ニュー・デイ,直接の後続作,direct film continuation,very strong,solid_thick,core,中核,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Sony公式がNo Way Homeの出来事から4年後の新章と明示。,web-verified,Sony Pictures Japan states the story takes place four years after No Way Home and begins a new chapter for the same Peter Parker.,https://www.sonypictures.jp/corp/press/2026-03-18-0,2026-08-26,,high,official-distributor,story,direct,same_or_intended,true,true,true,official-story,,story_link,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
doctor-strange-2016 -> avengers-infinity-war-2018,doctor-strange-2016,ドクター・ストレンジ,avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,キャラクター・クロスオーバー,character crossover,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Doctor Strange joins the Avengers conflict.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,indirect,same_or_intended,true,false,true,legacy-structured,,crossover,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
spider-man-no-way-home-2021 -> doctor-strange-in-the-multiverse-of-madness-2022,spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,doctor-strange-in-the-multiverse-of-madness-2022,ドクター・ストレンジ／マルチバース・オブ・マッドネス,マルチバース／テーマ上の継続,multiverse/thematic continuation,medium,dotted,reference,参照,客演・設定共有・別宇宙・出演確認などの参照接続。「全線」で表示、表示時も選択作品への直接接続だけ補助点灯。,Shared multiverse consequences; not a direct sequel.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,crossover,direct,multiverse,true,true,false,legacy-structured,,crossover,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
wandavision-2021 -> doctor-strange-in-the-multiverse-of-madness-2022,wandavision-2021,ワンダヴィジョン,doctor-strange-in-the-multiverse-of-madness-2022,ドクター・ストレンジ／マルチバース・オブ・マッドネス,物語／キャラクターの継続,plot/character continuation,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Wanda's post-WandaVision arc continues.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,indirect,same_or_intended,true,false,true,legacy-structured,,story_link,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
wandavision-2021 -> agatha-all-along-2024,wandavision-2021,ワンダヴィジョン,agatha-all-along-2024,アガサ・オール・アロング,直接スピンオフ,direct spin-off,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Agatha branch.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,spinoff,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
agatha-all-along-2024 -> visionquest-2026-10-14,agatha-all-along-2024,アガサ・オール・アロング,visionquest-2026-10-14,VisionQuest （邦題未発表）,三部作の継続,trilogy continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Marvel calls VisionQuest the final installment of the trilogy begun by WandaVision and continued by Agatha.,web-verified,Marvel calls VisionQuest the final installment of the WandaVision→Agatha All Along→VisionQuest trilogy.,https://www.marvel.com/articles/tv-shows/marvel-television-visionquest-release-date?pubDate=20260513,2026-08-26,,high,official-marvel,story,strong,same_or_intended,true,true,true,web/primary,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
wandavision-2021 -> visionquest-2026-10-14,wandavision-2021,ワンダヴィジョン,visionquest-2026-10-14,VisionQuest （邦題未発表）,三部作の主軸,trilogy backbone,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Vision continuation; Marvel explicitly frames the three-title trilogy.,web-verified,Marvel calls VisionQuest the final installment of the trilogy begun by WandaVision and continued by Agatha All Along.,https://www.marvel.com/articles/tv-shows/marvel-television-visionquest-release-date?pubDate=20260513,2026-08-26,,high,official-marvel,story,strong,same_or_intended,true,true,true,web/primary,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
wandavision-2021 -> the-marvels-2023,wandavision-2021,ワンダヴィジョン,the-marvels-2023,マーベルズ,キャラクター継続,character continuation,strong,solid,recommended,推奨,理解を助ける重要なクロスオーバー／人物・イベント継続。選択作品へ直接1段だけ付加し、ここからは再帰伝播しない。,Monica Rambeau continues into The Marvels.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,character,proxy,same_or_intended,true,false,true,legacy-structured,,character_continuity,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy-importance-reviewed,reviewed-v4,2026-08-26
ms-marvel-2022 -> the-marvels-2023,ms-marvel-2022,ミズ・マーベル,the-marvels-2023,マーベルズ,同一キャラクターの直接継続,direct character continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Kamala Khan continues into The Marvels.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,story_link,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
captain-marvel-2019 -> the-marvels-2023,captain-marvel-2019,キャプテン・マーベル,the-marvels-2023,マーベルズ,direct sequel/character continuation,direct sequel/character continuation,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Carol Danvers continues into The Marvels.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,direct,same_or_intended,true,true,true,legacy-structured,,sequel,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
hawkeye-2021 -> echo-2024,hawkeye-2021,ホークアイ,echo-2024,エコー,direct character spin-off,direct character spin-off,strong,solid,core,中核,同系列・直接続編・直接的な物語前提など、選択作品の本筋として再帰的に辿る接続。,Maya Lopez/Fisk branch.,structure-reviewed,IDs・重複・自己ループ・方向グラフ整合を監査。外部根拠は必要な接続のみ別途確認。,,2026-08-26,,medium,internal-structure,story,strong,same_or_intended,true,true,true,legacy-structured,,spinoff,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy-importance-reviewed,reviewed-v4,2026-08-26
