work_id,title_ja,world_group,lane,order,track,certainty,note,story_group_override,management_notes
guardians-of-the-galaxy-vol-2-2017,ガーディアンズ・オブ・ギャラクシー：リミックス,MCU,mcu-main,120,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
i-am-groot-s1-2022,アイ・アム・グルート S1,MCU,mcu-main,130,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
i-am-groot-s2-2023,アイ・アム・グルート S2,MCU,mcu-main,140,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
daredevil-s1-2015,デアデビル S1,MCU,mcu-main,150,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
jessica-jones-s1-2015,ジェシカ・ジョーンズ S1,MCU,mcu-main,160,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
avengers-age-of-ultron-2015,アベンジャーズ／エイジ・オブ・ウルトロン,MCU,mcu-main,170,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
ant-man-2015,アントマン,MCU,mcu-main,180,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
daredevil-s2-2016,デアデビル S2,MCU,mcu-main,190,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
luke-cage-s1-2016,ルーク・ケイジ S1,MCU,mcu-main,200,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
iron-fist-s1-2017,アイアン・フィスト S1,MCU,mcu-main,210,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-defenders-2017,マーベル／ザ・ディフェンダーズ,MCU,mcu-main,220,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
captain-america-civil-war-2016,シビル・ウォー／キャプテン・アメリカ,MCU,mcu-main,230,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
black-widow-2021,ブラック・ウィドウ,MCU,mcu-main,240,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
black-panther-2018,ブラックパンサー,MCU,mcu-main,250,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
spider-man-homecoming-2017,スパイダーマン：ホームカミング,MCU,mcu-main,260,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-punisher-s1-2017,パニッシャー S1,MCU,mcu-main,270,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
doctor-strange-2016,ドクター・ストレンジ,MCU,mcu-main,280,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
jessica-jones-s2-2018,ジェシカ・ジョーンズ S2,MCU,mcu-main,290,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
luke-cage-s2-2018,ルーク・ケイジ S2,MCU,mcu-main,300,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
iron-fist-s2-2018,アイアン・フィスト S2,MCU,mcu-main,310,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
daredevil-s3-2018,デアデビル S3,MCU,mcu-main,320,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
thor-ragnarok-2017,マイティ・ソー バトルロイヤル,MCU,mcu-main,330,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-punisher-s2-2019,パニッシャー S2,MCU,mcu-main,340,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
jessica-jones-s3-2019,ジェシカ・ジョーンズ S3,MCU,mcu-main,350,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
ant-man-and-the-wasp-2018,アントマン＆ワスプ,MCU,mcu-main,360,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
avengers-infinity-war-2018,アベンジャーズ／インフィニティ・ウォー,MCU,mcu-main,370,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
avengers-endgame-2019,アベンジャーズ／エンドゲーム,MCU,mcu-main,380,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
loki-s1-2021,ロキ シーズン1,MCU,mcu-main,390,time-crossing,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
what-if-s1-2021,ホワット・イフ…？ シーズン1,MCU,mcu-main,400,multiverse,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
wandavision-2021,ワンダヴィジョン,MCU,mcu-main,410,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
shang-chi-and-the-legend-of-the-ten-rings-2021,シャン・チー／テン・リングスの伝説,MCU,mcu-main,420,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-falcon-and-the-winter-soldier-2021,ファルコン＆ウィンター・ソルジャー,MCU,mcu-main,430,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
spider-man-far-from-home-2019,スパイダーマン：ファー・フロム・ホーム,MCU,mcu-main,440,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
spider-man-no-way-home-2021,スパイダーマン：ノー・ウェイ・ホーム,MCU,mcu-main,445,time-crossing,confirmed,Far From Home の直接続編。マルチバース横断として通常線から区別。,,
eternals-2021,エターナルズ,MCU,mcu-main,450,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
doctor-strange-in-the-multiverse-of-madness-2022,ドクター・ストレンジ／マルチバース・オブ・マッドネス,MCU,mcu-main,460,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
hawkeye-2021,ホークアイ,MCU,mcu-main,470,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
moon-knight-2022,ムーンナイト,MCU,mcu-main,480,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
black-panther-wakanda-forever-2022,ブラックパンサー／ワカンダ・フォーエバー,MCU,mcu-main,490,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
echo-2024,エコー,MCU,mcu-main,500,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
she-hulk-attorney-at-law-2022,シー・ハルク：ザ・アトーニー,MCU,mcu-main,510,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
ms-marvel-2022,ミズ・マーベル,MCU,mcu-main,520,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
thor-love-and-thunder-2022,ソー：ラブ＆サンダー,MCU,mcu-main,530,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
werewolf-by-night-2022,ウェアウルフ・バイ・ナイト,MCU,mcu-main,540,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-guardians-of-the-galaxy-holiday-special-2022,ガーディアンズ・オブ・ギャラクシー ホリデー・スペシャル,MCU,mcu-main,550,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
ant-man-and-the-wasp-quantumania-2023,アントマン＆ワスプ：クアントマニア,MCU,mcu-main,560,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
guardians-of-the-galaxy-vol-3-2023,ガーディアンズ・オブ・ギャラクシー：VOLUME 3,MCU,mcu-main,570,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
secret-invasion-2023,シークレット・インベージョン,MCU,mcu-main,580,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-marvels-2023,マーベルズ,MCU,mcu-main,590,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
loki-s2-2023,ロキ シーズン2,MCU,mcu-main,600,time-crossing,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
what-if-s2-2023,ホワット・イフ…？ シーズン2,MCU,mcu-main,610,multiverse,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
deadpool-wolverine-2024,デッドプール＆ウルヴァリン,MCU,mcu-main,620,time-crossing,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
agatha-all-along-2024,アガサ・オール・アロング,MCU,mcu-main,630,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
what-if-s3-2024,ホワット・イフ…？ シーズン3,MCU,mcu-main,640,multiverse,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
daredevil-born-again-s1-2025,デアデビル：ボーン・アゲイン S1,MCU,mcu-main,650,main,confirmed,Disney+「MCUコンプリート 時系列順」（2025-03-31）を基準。,,
the-fantastic-four-first-steps-2025,ファンタスティック４：ファースト・ステップ,MCU,mcu-main,8500,multiverse,confirmed,Marvel公式が別宇宙・1960年代風世界として説明。,,
captain-america-brave-new-world-2025,キャプテン・アメリカ：ブレイブ・ニュー・ワールド,MCU,mcu-main,9000,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
thunderbolts-new-avengers-2025,サンダーボルツ*,MCU,mcu-main,9010,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
ironheart-2025,アイアンハート,MCU,mcu-main,9020,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
wonder-man-s1-2026,ワンダーマン S1,MCU,mcu-main,9030,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
daredevil-born-again-s2-2026,デアデビル：ボーン・アゲイン S2,MCU,mcu-main,9040,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
the-punisher-one-last-kill-2026-05-12,パニッシャー：ワン・ラスト・キル,MCU,mcu-main,9050,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
visionquest-2026-10-14,VisionQuest （邦題未発表）,MCU,mcu-main,9060,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
daredevil-born-again-s3-tba,デアデビル：ボーン・アゲイン S3,MCU,mcu-main,9070,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
blade-mcu-tba-tba,Blade（MCU／邦題未発表）,MCU,mcu-main,9080,unplaced,partial,収録済みだが、このStage Cでは相対位置を断定しない。,,
spider-man-brand-new-day-2026-07-31,スパイダーマン：ブランド・ニュー・デイ,MCU,mcu-main,9900,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,,
avengers-doomsday-2026-12-18,アベンジャーズ／ドゥームズデイ,MCU,mcu-main,9910,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,,
avengers-secret-wars-2027-12-17,Avengers: Secret Wars （邦題未発表）,MCU,mcu-main,9920,unplaced,unknown,公開日は別管理。作品内時系列は未確定として保留。,,
venom-2018,ヴェノム,SSU,ssu,10,venom-line,confirmed,Venom 三部作として連続表示。,,
venom-let-there-be-carnage-2021,ヴェノム：レット・ゼア・ビー・カーネイジ,SSU,ssu,20,venom-line,confirmed,Venom 三部作として連続表示。,,
venom-the-last-dance-2024,ヴェノム：ザ・ラストダンス,SSU,ssu,30,venom-line,confirmed,Venom 三部作として連続表示。,,
morbius-2022,モービウス,SSU,ssu,200,standalone,ambiguous,同一の一本線へ強制接続せず、独立作品枠として表示。,,
madame-web-2024,マダム・ウェブ,SSU,ssu,210,standalone,ambiguous,同一の一本線へ強制接続せず、独立作品枠として表示。,,
kraven-the-hunter-2024,クレイヴン・ザ・ハンター,SSU,ssu,220,standalone,ambiguous,同一の一本線へ強制接続せず、独立作品枠として表示。,,
the-amazing-spider-man-2012,アメイジング・スパイダーマン,Spider-Man / Amazing,amazing,10,main,confirmed,二部作の続編関係のみを表示。,,
the-amazing-spider-man-2-2014,アメイジング・スパイダーマン2,Spider-Man / Amazing,amazing,20,main,confirmed,二部作の続編関係のみを表示。,,
spider-man-2002,スパイダーマン,Spider-Man / Raimi,raimi,10,main,confirmed,三部作の続編関係のみを表示。,,
spider-man-2-2004,スパイダーマン2,Spider-Man / Raimi,raimi,20,main,confirmed,三部作の続編関係のみを表示。,,
spider-man-3-2007,スパイダーマン3,Spider-Man / Raimi,raimi,30,main,confirmed,三部作の続編関係のみを表示。,,
