prewatch_edge_id,source_work_id,target_work_id,tier,reason,basis
prewatch-captain-america-civil-war-2016-ant-man-and-the-wasp-2018-recommended,captain-america-civil-war-2016,ant-man-and-the-wasp-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023-complete,avengers-endgame-2019,ant-man-and-the-wasp-quantumania-2023,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-minimum,ant-man-and-the-wasp-2018,ant-man-and-the-wasp-quantumania-2023,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-avengers-2012-avengers-age-of-ultron-2015-minimum,the-avengers-2012,avengers-age-of-ultron-2015,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-captain-america-the-winter-soldier-2014-avengers-age-of-ultron-2015-recommended,captain-america-the-winter-soldier-2014,avengers-age-of-ultron-2015,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-iron-man-3-2013-avengers-age-of-ultron-2015-recommended,iron-man-3-2013,avengers-age-of-ultron-2015,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-thor-the-dark-world-2013-avengers-age-of-ultron-2015-recommended,thor-the-dark-world-2013,avengers-age-of-ultron-2015,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-ant-man-and-the-wasp-quantumania-2023-avengers-doomsday-2026-12-18-complete,ant-man-and-the-wasp-quantumania-2023,avengers-doomsday-2026-12-18,complete,公式の関連作品・予習企画として有用だが、物語上の必須前提とはみなさない。完全版のみ。,legacy_v4_policy_compatibility
prewatch-captain-america-brave-new-world-2025-avengers-doomsday-2026-12-18-complete,captain-america-brave-new-world-2025,avengers-doomsday-2026-12-18,complete,公式の関連作品・予習企画として有用だが、物語上の必須前提とはみなさない。完全版のみ。,legacy_v4_policy_compatibility
prewatch-marvel-s-agent-carter-series-20152016-avengers-doomsday-2026-12-18-complete,marvel-s-agent-carter-series-20152016,avengers-doomsday-2026-12-18,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-shang-chi-and-the-legend-of-the-ten-rings-2021-avengers-doomsday-2026-12-18-complete,shang-chi-and-the-legend-of-the-ten-rings-2021,avengers-doomsday-2026-12-18,complete,公式の関連作品・予習企画として有用だが、物語上の必須前提とはみなさない。完全版のみ。,legacy_v4_policy_compatibility
prewatch-x-men-the-last-stand-2006-avengers-doomsday-2026-12-18-complete,x-men-the-last-stand-2006,avengers-doomsday-2026-12-18,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-the-fantastic-four-first-steps-2025-avengers-doomsday-2026-12-18-minimum,the-fantastic-four-first-steps-2025,avengers-doomsday-2026-12-18,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-thunderbolts-new-avengers-2025-avengers-doomsday-2026-12-18-minimum,thunderbolts-new-avengers-2025,avengers-doomsday-2026-12-18,minimum,Marvel Japan calls Thunderbolts* a key turning point/important title leading into Doomsday and confirms team participation.,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-avengers-doomsday-2026-12-18-recommended,avengers-endgame-2019,avengers-doomsday-2026-12-18,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-black-panther-wakanda-forever-2022-avengers-doomsday-2026-12-18-recommended,black-panther-wakanda-forever-2022,avengers-doomsday-2026-12-18,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-deadpool-wolverine-2024-avengers-doomsday-2026-12-18-recommended,deadpool-wolverine-2024,avengers-doomsday-2026-12-18,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-the-marvels-2023-avengers-doomsday-2026-12-18-recommended,the-marvels-2023,avengers-doomsday-2026-12-18,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-thor-love-and-thunder-2022-avengers-doomsday-2026-12-18-recommended,thor-love-and-thunder-2022,avengers-doomsday-2026-12-18,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-avengers-infinity-war-2018-avengers-endgame-2019-minimum,avengers-infinity-war-2018,avengers-endgame-2019,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-ant-man-and-the-wasp-2018-avengers-endgame-2019-recommended,ant-man-and-the-wasp-2018,avengers-endgame-2019,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-captain-marvel-2019-avengers-endgame-2019-recommended,captain-marvel-2019,avengers-endgame-2019,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-marvel-s-agent-carter-series-20152016-avengers-endgame-2019-recommended,marvel-s-agent-carter-series-20152016,avengers-endgame-2019,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-black-panther-2018-avengers-infinity-war-2018-recommended,black-panther-2018,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-civil-war-2016-avengers-infinity-war-2018-recommended,captain-america-civil-war-2016,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-doctor-strange-2016-avengers-infinity-war-2018-recommended,doctor-strange-2016,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-guardians-of-the-galaxy-vol-2-2017-avengers-infinity-war-2018-recommended,guardians-of-the-galaxy-vol-2-2017,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-spider-man-homecoming-2017-avengers-infinity-war-2018-recommended,spider-man-homecoming-2017,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-thor-ragnarok-2017-avengers-infinity-war-2018-recommended,thor-ragnarok-2017,avengers-infinity-war-2018,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17-minimum,avengers-doomsday-2026-12-18,avengers-secret-wars-2027-12-17,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-avengers-age-of-ultron-2015-black-panther-2018-complete,avengers-age-of-ultron-2015,black-panther-2018,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-civil-war-2016-black-panther-2018-minimum,captain-america-civil-war-2016,black-panther-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-black-panther-2018-black-panther-wakanda-forever-2022-minimum,black-panther-2018,black-panther-wakanda-forever-2022,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-captain-america-civil-war-2016-black-widow-2021-minimum,captain-america-civil-war-2016,black-widow-2021,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-blade-1998-1998-blade-ii-2002-minimum,blade-1998-1998,blade-ii-2002,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-blade-ii-2002-blade-trinity-2004-minimum,blade-ii-2002,blade-trinity-2004,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-falcon-and-the-winter-soldier-2021-captain-america-brave-new-world-2025-minimum,the-falcon-and-the-winter-soldier-2021,captain-america-brave-new-world-2025,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-incredible-hulk-2008-captain-america-brave-new-world-2025-recommended,the-incredible-hulk-2008,captain-america-brave-new-world-2025,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-the-winter-soldier-2014-captain-america-civil-war-2016-minimum,captain-america-the-winter-soldier-2014,captain-america-civil-war-2016,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-ant-man-2015-captain-america-civil-war-2016-recommended,ant-man-2015,captain-america-civil-war-2016,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-avengers-age-of-ultron-2015-captain-america-civil-war-2016-recommended,avengers-age-of-ultron-2015,captain-america-civil-war-2016,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-captain-america-the-first-avenger-2011-captain-america-the-winter-soldier-2014-minimum,captain-america-the-first-avenger-2011,captain-america-the-winter-soldier-2014,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-avengers-2012-captain-america-the-winter-soldier-2014-recommended,the-avengers-2012,captain-america-the-winter-soldier-2014,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-guardians-of-the-galaxy-2014-captain-marvel-2019-complete,guardians-of-the-galaxy-2014,captain-marvel-2019,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-hawkeye-2021-daredevil-born-again-s1-2025-complete,hawkeye-2021,daredevil-born-again-s1-2025,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-daredevil-s3-2018-daredevil-born-again-s1-2025-minimum,daredevil-s3-2018,daredevil-born-again-s1-2025,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-echo-2024-daredevil-born-again-s1-2025-recommended,echo-2024,daredevil-born-again-s1-2025,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-she-hulk-attorney-at-law-2022-daredevil-born-again-s1-2025-recommended,she-hulk-attorney-at-law-2022,daredevil-born-again-s1-2025,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-the-punisher-s2-2019-daredevil-born-again-s1-2025-recommended,the-punisher-s2-2019,daredevil-born-again-s1-2025,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-daredevil-born-again-s1-2025-daredevil-born-again-s2-2026-minimum,daredevil-born-again-s1-2025,daredevil-born-again-s2-2026,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-jessica-jones-s3-2019-daredevil-born-again-s2-2026-recommended,jessica-jones-s3-2019,daredevil-born-again-s2-2026,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-daredevil-born-again-s2-2026-daredevil-born-again-s3-tba-minimum,daredevil-born-again-s2-2026,daredevil-born-again-s3-tba,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-daredevil-s1-2015-daredevil-s2-2016-minimum,daredevil-s1-2015,daredevil-s2-2016,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-defenders-2017-daredevil-s3-2018-minimum,the-defenders-2017,daredevil-s3-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-x-men-apocalypse-2016-dark-phoenix-2019-minimum,x-men-apocalypse-2016,dark-phoenix-2019,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-deadpool-2016-deadpool-2-2018-minimum,deadpool-2016,deadpool-2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-blade-trinity-2004-deadpool-wolverine-2024-complete,blade-trinity-2004,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-elektra-2005-deadpool-wolverine-2024-complete,elektra-2005,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-fantastic-four-rise-of-the-silver-surfer-2007-deadpool-wolverine-2024-complete,fantastic-four-rise-of-the-silver-surfer-2007,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-loki-s2-2023-deadpool-wolverine-2024-complete,loki-s2-2023,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-x-men-2000-deadpool-wolverine-2024-complete,x-men-2000,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-x-men-the-last-stand-2006-deadpool-wolverine-2024-complete,x-men-the-last-stand-2006,deadpool-wolverine-2024,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-deadpool-2-2018-deadpool-wolverine-2024-minimum,deadpool-2-2018,deadpool-wolverine-2024,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-logan-2017-deadpool-wolverine-2024-recommended,logan-2017,deadpool-wolverine-2024,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-inhumans-2017-doctor-strange-in-the-multiverse-of-madness-2022-complete,inhumans-2017,doctor-strange-in-the-multiverse-of-madness-2022,complete,変異体・同俳優callback等のメタ接続。完全版のみ。,legacy_v4_policy_compatibility
prewatch-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-complete,spider-man-no-way-home-2021,doctor-strange-in-the-multiverse-of-madness-2022,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-doctor-strange-2016-doctor-strange-in-the-multiverse-of-madness-2022-minimum,doctor-strange-2016,doctor-strange-in-the-multiverse-of-madness-2022,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-wandavision-2021-doctor-strange-in-the-multiverse-of-madness-2022-recommended,wandavision-2021,doctor-strange-in-the-multiverse-of-madness-2022,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-hawkeye-2021-echo-2024-minimum,hawkeye-2021,echo-2024,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-daredevil-2003-elektra-2005-minimum,daredevil-2003,elektra-2005,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-eternals-2021-recommended,avengers-endgame-2019,eternals-2021,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-black-panther-2018-eyes-of-wakanda-2025-complete,black-panther-2018,eyes-of-wakanda-2025,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-fantastic-four-2005-fantastic-four-rise-of-the-silver-surfer-2007-minimum,fantastic-four-2005,fantastic-four-rise-of-the-silver-surfer-2007,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-thor-the-dark-world-2013-guardians-of-the-galaxy-2014-recommended,thor-the-dark-world-2013,guardians-of-the-galaxy-2014,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-guardians-of-the-galaxy-2014-guardians-of-the-galaxy-vol-2-2017-minimum,guardians-of-the-galaxy-2014,guardians-of-the-galaxy-vol-2-2017,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-guardians-of-the-galaxy-holiday-special-2022-guardians-of-the-galaxy-vol-3-2023-minimum,the-guardians-of-the-galaxy-holiday-special-2022,guardians-of-the-galaxy-vol-3-2023,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-hawkeye-2021-recommended,avengers-endgame-2019,hawkeye-2021,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-black-widow-2021-hawkeye-2021-recommended,black-widow-2021,hawkeye-2021,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-guardians-of-the-galaxy-vol-2-2017-i-am-groot-s1-2022-recommended,guardians-of-the-galaxy-vol-2-2017,i-am-groot-s1-2022,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-i-am-groot-s1-2022-i-am-groot-s2-2023-minimum,i-am-groot-s1-2022,i-am-groot-s2-2023,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-iron-fist-s1-2017-iron-fist-s2-2018-minimum,iron-fist-s1-2017,iron-fist-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-defenders-2017-iron-fist-s2-2018-minimum,the-defenders-2017,iron-fist-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-iron-man-2008-iron-man-2-2010-minimum,iron-man-2008,iron-man-2-2010,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-iron-man-2-2010-iron-man-3-2013-minimum,iron-man-2-2010,iron-man-3-2013,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-avengers-2012-iron-man-3-2013-recommended,the-avengers-2012,iron-man-3-2013,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-black-panther-wakanda-forever-2022-ironheart-2025-minimum,black-panther-wakanda-forever-2022,ironheart-2025,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-avengers-2012-item-47-2012-recommended,the-avengers-2012,item-47-2012,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-jessica-jones-s1-2015-jessica-jones-s2-2018-minimum,jessica-jones-s1-2015,jessica-jones-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-defenders-2017-jessica-jones-s2-2018-minimum,the-defenders-2017,jessica-jones-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-jessica-jones-s2-2018-jessica-jones-s3-2019-minimum,jessica-jones-s2-2018,jessica-jones-s3-2019,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-wolverine-2013-logan-2017-minimum,the-wolverine-2013,logan-2017,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-loki-s1-2021-minimum,avengers-endgame-2019,loki-s1-2021,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-loki-s1-2021-loki-s2-2023-minimum,loki-s1-2021,loki-s2-2023,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-jessica-jones-s1-2015-luke-cage-s1-2016-recommended,jessica-jones-s1-2015,luke-cage-s1-2016,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-luke-cage-s1-2016-luke-cage-s2-2018-minimum,luke-cage-s1-2016,luke-cage-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-the-defenders-2017-luke-cage-s2-2018-minimum,the-defenders-2017,luke-cage-s2-2018,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-agent-carter-one-shot-2013-marvel-s-agent-carter-series-20152016-minimum,agent-carter-one-shot-2013,marvel-s-agent-carter-series-20152016,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-what-if-s1-2021-marvel-zombies-s1-2025-minimum,what-if-s1-2021,marvel-zombies-s1-2025,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-spider-man-no-way-home-2021-morbius-2022-complete,spider-man-no-way-home-2021,morbius-2022,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-cloak-dagger-20182019-runaways-20172019-minimum,cloak-dagger-20182019,runaways-20172019,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-spider-man-far-from-home-2019-secret-invasion-2023-complete,spider-man-far-from-home-2019,secret-invasion-2023,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-captain-marvel-2019-secret-invasion-2023-recommended,captain-marvel-2019,secret-invasion-2023,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-the-incredible-hulk-2008-shang-chi-and-the-legend-of-the-ten-rings-2021-complete,the-incredible-hulk-2008,shang-chi-and-the-legend-of-the-ten-rings-2021,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-recommended,all-hail-the-king-2014,shang-chi-and-the-legend-of-the-ten-rings-2021,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-daredevil-s3-2018-she-hulk-attorney-at-law-2022-complete,daredevil-s3-2018,she-hulk-attorney-at-law-2022,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-spider-man-no-way-home-2021-she-hulk-attorney-at-law-2022-complete,spider-man-no-way-home-2021,she-hulk-attorney-at-law-2022,complete,補助的な人物・世界観・マルチバース・参照関係まで含む完全版で追加する。,legacy_v4_policy_compatibility
prewatch-avengers-endgame-2019-she-hulk-attorney-at-law-2022-recommended,avengers-endgame-2019,she-hulk-attorney-at-law-2022,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-shang-chi-and-the-legend-of-the-ten-rings-2021-she-hulk-attorney-at-law-2022-recommended,shang-chi-and-the-legend-of-the-ten-rings-2021,she-hulk-attorney-at-law-2022,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-the-incredible-hulk-2008-she-hulk-attorney-at-law-2022-recommended,the-incredible-hulk-2008,she-hulk-attorney-at-law-2022,recommended,理解や人物関係を大きく補強するため、おすすめプランで追加する。,legacy_v4_policy_compatibility
prewatch-spider-man-2002-spider-man-2-2004-minimum,spider-man-2002,spider-man-2-2004,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-spider-man-2-2004-spider-man-3-2007-minimum,spider-man-2-2004,spider-man-3-2007,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-spider-man-into-the-spider-verse-2018-spider-man-across-the-spider-verse-2023-minimum,spider-man-into-the-spider-verse-2018,spider-man-across-the-spider-verse-2023,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
prewatch-spider-man-across-the-spider-verse-2023-spider-man-beyond-the-spider-verse-tba-minimum,spider-man-across-the-spider-verse-2023,spider-man-beyond-the-spider-verse-tba,minimum,本筋・直接続編・強い前提として、最低限プランで再帰的に辿る。,legacy_v4_policy_compatibility
