appearance_id,work_id,entity_id,appearance_kind,certainty,verification_status,notes
appearance-iron-man-2008-entity-x-5a2ee964f0,iron-man-2008,entity-x-5a2ee964f0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-fd344cdc17,captain-america-civil-war-2016,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-fd344cdc17,avengers-infinity-war-2018,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-fd344cdc17,avengers-endgame-2019,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-falcon-and-the-winter-soldier-2021-entity-x-fd344cdc17,the-falcon-and-the-winter-soldier-2021,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-brave-new-world-2025-entity-x-fd344cdc17,captain-america-brave-new-world-2025,entity-x-fd344cdc17,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-first-avenger-2011-entity-x-bd73e23ab5,captain-america-the-first-avenger-2011,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-the-winter-soldier-2014-entity-x-bd73e23ab5,captain-america-the-winter-soldier-2014,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-x-bd73e23ab5,captain-america-civil-war-2016,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-bd73e23ab5,avengers-infinity-war-2018,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-bd73e23ab5,avengers-endgame-2019,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-falcon-and-the-winter-soldier-2021-entity-x-bd73e23ab5,the-falcon-and-the-winter-soldier-2021,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thunderbolts-new-avengers-2025-entity-x-bd73e23ab5,thunderbolts-new-avengers-2025,entity-x-bd73e23ab5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-black-widow-2021-entity-x-3cfb930336,black-widow-2021,entity-x-3cfb930336,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-hawkeye-2021-entity-x-3cfb930336,hawkeye-2021,entity-x-3cfb930336,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thunderbolts-new-avengers-2025-entity-x-3cfb930336,thunderbolts-new-avengers-2025,entity-x-3cfb930336,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-2011-entity-x-55e230260e,thor-2011,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-avengers-2012-entity-x-55e230260e,the-avengers-2012,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-the-dark-world-2013-entity-x-55e230260e,thor-the-dark-world-2013,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-thor-ragnarok-2017-entity-x-55e230260e,thor-ragnarok-2017,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-55e230260e,avengers-infinity-war-2018,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-loki-s1-2021-entity-x-55e230260e,loki-s1-2021,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-loki-s2-2023-entity-x-55e230260e,loki-s2-2023,entity-x-55e230260e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-doctor-strange-2016-entity-x-c8ead423cc,doctor-strange-2016,entity-x-c8ead423cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-c8ead423cc,avengers-infinity-war-2018,entity-x-c8ead423cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-c8ead423cc,avengers-endgame-2019,entity-x-c8ead423cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-no-way-home-2021-entity-x-c8ead423cc,spider-man-no-way-home-2021,entity-x-c8ead423cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-doctor-strange-in-the-multiverse-of-madness-2022-entity-x-c8ead423cc,doctor-strange-in-the-multiverse-of-madness-2022,entity-x-c8ead423cc,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-america-civil-war-2016-entity-mcu,captain-america-civil-war-2016,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-homecoming-2017-entity-mcu,spider-man-homecoming-2017,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-mcu,avengers-infinity-war-2018,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-mcu,avengers-endgame-2019,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-far-from-home-2019-entity-mcu,spider-man-far-from-home-2019,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-no-way-home-2021-entity-mcu,spider-man-no-way-home-2021,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-brand-new-day-2026-07-31-entity-mcu,spider-man-brand-new-day-2026-07-31,entity-mcu,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-2002-entity-x-f162d4b4b2,spider-man-2002,entity-x-f162d4b4b2,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-2-2004-entity-x-f162d4b4b2,spider-man-2-2004,entity-x-f162d4b4b2,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-3-2007-entity-x-f162d4b4b2,spider-man-3-2007,entity-x-f162d4b4b2,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-no-way-home-2021-entity-x-f162d4b4b2,spider-man-no-way-home-2021,entity-x-f162d4b4b2,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-amazing-spider-man-2012-entity-x-f8b1d323de,the-amazing-spider-man-2012,entity-x-f8b1d323de,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-amazing-spider-man-2-2014-entity-x-f8b1d323de,the-amazing-spider-man-2-2014,entity-x-f8b1d323de,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-no-way-home-2021-entity-x-f8b1d323de,spider-man-no-way-home-2021,entity-x-f8b1d323de,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s1-2015-entity-x-97f9d29354,daredevil-s1-2015,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s2-2016-entity-x-97f9d29354,daredevil-s2-2016,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-defenders-2017-entity-x-97f9d29354,the-defenders-2017,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s3-2018-entity-x-97f9d29354,daredevil-s3-2018,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-spider-man-no-way-home-2021-entity-x-97f9d29354,spider-man-no-way-home-2021,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-she-hulk-attorney-at-law-2022-entity-x-97f9d29354,she-hulk-attorney-at-law-2022,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-echo-2024-entity-x-97f9d29354,echo-2024,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-born-again-s1-2025-entity-x-97f9d29354,daredevil-born-again-s1-2025,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-born-again-s2-2026-entity-x-97f9d29354,daredevil-born-again-s2-2026,entity-x-97f9d29354,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s1-2015-entity-x-b42511d738,daredevil-s1-2015,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s2-2016-entity-x-b42511d738,daredevil-s2-2016,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s3-2018-entity-x-b42511d738,daredevil-s3-2018,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-hawkeye-2021-entity-x-b42511d738,hawkeye-2021,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-echo-2024-entity-x-b42511d738,echo-2024,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-born-again-s1-2025-entity-x-b42511d738,daredevil-born-again-s1-2025,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-born-again-s2-2026-entity-x-b42511d738,daredevil-born-again-s2-2026,entity-x-b42511d738,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-s2-2016-entity-x-cacda9afb6,daredevil-s2-2016,entity-x-cacda9afb6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-punisher-s1-2017-entity-x-cacda9afb6,the-punisher-s1-2017,entity-x-cacda9afb6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-punisher-s2-2019-entity-x-cacda9afb6,the-punisher-s2-2019,entity-x-cacda9afb6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-daredevil-born-again-s1-2025-entity-x-cacda9afb6,daredevil-born-again-s1-2025,entity-x-cacda9afb6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-punisher-one-last-kill-2026-05-12-entity-x-cacda9afb6,the-punisher-one-last-kill-2026-05-12,entity-x-cacda9afb6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-deadpool-2016-entity-x-06b270750e,deadpool-2016,entity-x-06b270750e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-deadpool-2-2018-entity-x-06b270750e,deadpool-2-2018,entity-x-06b270750e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-deadpool-wolverine-2024-entity-x-06b270750e,deadpool-wolverine-2024,entity-x-06b270750e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-x-men-2000-entity-x-680db112c0,x-men-2000,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-x2-x-men-united-2003-entity-x-680db112c0,x2-x-men-united-2003,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-x-men-the-last-stand-2006-entity-x-680db112c0,x-men-the-last-stand-2006,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-x-men-origins-wolverine-2009-entity-x-680db112c0,x-men-origins-wolverine-2009,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-wolverine-2013-entity-x-680db112c0,the-wolverine-2013,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-x-men-days-of-future-past-2014-entity-x-680db112c0,x-men-days-of-future-past-2014,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-logan-2017-entity-x-680db112c0,logan-2017,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-deadpool-wolverine-2024-entity-x-680db112c0,deadpool-wolverine-2024,entity-x-680db112c0,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-marvel-2019-entity-x-a6764da9a6,captain-marvel-2019,entity-x-a6764da9a6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-a6764da9a6,avengers-endgame-2019,entity-x-a6764da9a6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-marvels-2023-entity-x-a6764da9a6,the-marvels-2023,entity-x-a6764da9a6,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-ms-marvel-2022-entity-x-b51df877f5,ms-marvel-2022,entity-x-b51df877f5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-marvels-2023-entity-x-b51df877f5,the-marvels-2023,entity-x-b51df877f5,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-captain-marvel-2019-entity-x-06c4fa169e,captain-marvel-2019,entity-x-06c4fa169e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-wandavision-2021-entity-x-06c4fa169e,wandavision-2021,entity-x-06c4fa169e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-marvels-2023-entity-x-06c4fa169e,the-marvels-2023,entity-x-06c4fa169e,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-black-panther-2018-entity-x-6f5fa7e694,black-panther-2018,entity-x-6f5fa7e694,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-infinity-war-2018-entity-x-6f5fa7e694,avengers-infinity-war-2018,entity-x-6f5fa7e694,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-avengers-endgame-2019-entity-x-6f5fa7e694,avengers-endgame-2019,entity-x-6f5fa7e694,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-black-panther-wakanda-forever-2022-entity-x-6f5fa7e694,black-panther-wakanda-forever-2022,entity-x-6f5fa7e694,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-black-panther-wakanda-forever-2022-entity-x-f8ae7d551d,black-panther-wakanda-forever-2022,entity-x-f8ae7d551d,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-ironheart-2025-entity-x-f8ae7d551d,ironheart-2025,entity-x-f8ae7d551d,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-hawkeye-2021-entity-x-513bb16625,hawkeye-2021,entity-x-513bb16625,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-the-marvels-2023-entity-x-513bb16625,the-marvels-2023,entity-x-513bb16625,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-wandavision-2021-entity-x-de5650abae,wandavision-2021,entity-x-de5650abae,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
appearance-agatha-all-along-2024-entity-x-de5650abae,agatha-all-along-2024,entity-x-de5650abae,unknown,unknown,legacy_seed,Migrated from index.html CHAR_LINKS; not independent evidence.
