work_relation_id,source_work_id,target_work_id,relation_kind,relation_scope,directness,continuity_scope,certainty,verification_status,notes
work-relation-ant-man-and-the-wasp-2018-avengers-endgame-2019-lead-in,ant-man-and-the-wasp-2018,avengers-endgame-2019,lead_in,story,direct,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-avengers-endgame-2019-ant-man-and-the-wasp-quantumania-2023-world-lore,avengers-endgame-2019,ant-man-and-the-wasp-quantumania-2023,world_lore,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-spider-man-homecoming-2017-avengers-infinity-war-2018-crossover,spider-man-homecoming-2017,avengers-infinity-war-2018,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-avengers-endgame-2019-spider-man-far-from-home-2019-aftermath,avengers-endgame-2019,spider-man-far-from-home-2019,aftermath,story,direct,same_or_intended,probable,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression. / Far From Home explicitly follows Endgame.
work-relation-spider-man-far-from-home-2019-spider-man-no-way-home-2021-sequel,spider-man-far-from-home-2019,spider-man-no-way-home-2021,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Same lead/team continuity or explicit sequel/crossover progression.
work-relation-spider-man-no-way-home-2021-spider-man-brand-new-day-2026-07-31-story-link,spider-man-no-way-home-2021,spider-man-brand-new-day-2026-07-31,story_link,story,direct,same_or_intended,confirmed,source_verified,Sony公式がNo Way Homeの出来事から4年後の新章と明示。
work-relation-doctor-strange-2016-avengers-infinity-war-2018-crossover,doctor-strange-2016,avengers-infinity-war-2018,crossover,crossover,indirect,same_or_intended,probable,legacy_seed,Doctor Strange joins the Avengers conflict.
work-relation-spider-man-no-way-home-2021-doctor-strange-in-the-multiverse-of-madness-2022-crossover,spider-man-no-way-home-2021,doctor-strange-in-the-multiverse-of-madness-2022,crossover,crossover,direct,multiverse,confirmed,source_verified,"Marvel explicitly describes Multiverse of Madness as dealing with fallout from Strange's Multiverse tampering in No Way Home; this is a direct causal multiverse link, not a sequel label."
work-relation-wandavision-2021-doctor-strange-in-the-multiverse-of-madness-2022-story-link,wandavision-2021,doctor-strange-in-the-multiverse-of-madness-2022,story_link,story,indirect,same_or_intended,probable,legacy_seed,Wanda's post-WandaVision arc continues.
work-relation-wandavision-2021-agatha-all-along-2024-spinoff,wandavision-2021,agatha-all-along-2024,spinoff,story,strong,same_or_intended,probable,source_verified,Agatha branch.
work-relation-agatha-all-along-2024-visionquest-2026-10-14-sequel,agatha-all-along-2024,visionquest-2026-10-14,sequel,story,strong,same_or_intended,confirmed,source_verified,Marvel calls VisionQuest the final installment of the trilogy begun by WandaVision and continued by Agatha.
work-relation-wandavision-2021-visionquest-2026-10-14-sequel,wandavision-2021,visionquest-2026-10-14,sequel,story,strong,same_or_intended,confirmed,source_verified,Vision continuation; Marvel explicitly frames the three-title trilogy.
work-relation-ms-marvel-2022-the-marvels-2023-story-link,ms-marvel-2022,the-marvels-2023,story_link,story,strong,same_or_intended,probable,legacy_seed,Kamala Khan continues into The Marvels.
work-relation-captain-marvel-2019-the-marvels-2023-sequel,captain-marvel-2019,the-marvels-2023,sequel,story,direct,same_or_intended,probable,legacy_seed,Carol Danvers continues into The Marvels.
work-relation-hawkeye-2021-echo-2024-spinoff,hawkeye-2021,echo-2024,spinoff,story,strong,same_or_intended,probable,source_verified,Maya Lopez/Fisk branch.
work-relation-hawkeye-2021-daredevil-born-again-s1-2025-lead-in,hawkeye-2021,daredevil-born-again-s1-2025,lead_in,story,indirect,same_or_intended,probable,legacy_seed,Fisk re-enters MCU before Born Again.
work-relation-echo-2024-daredevil-born-again-s1-2025-story-link,echo-2024,daredevil-born-again-s1-2025,story_link,story,indirect,same_or_intended,probable,legacy_seed,Fisk/Daredevil street branch.
work-relation-daredevil-born-again-s1-2025-daredevil-born-again-s2-2026-sequel,daredevil-born-again-s1-2025,daredevil-born-again-s2-2026,sequel,story,direct,same_or_intended,confirmed,source_verified,Season continuation.
work-relation-daredevil-born-again-s2-2026-daredevil-born-again-s3-tba-sequel,daredevil-born-again-s2-2026,daredevil-born-again-s3-tba,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Marvel lists Season 3.
work-relation-daredevil-born-again-s2-2026-the-punisher-one-last-kill-2026-05-12-crossover,daredevil-born-again-s2-2026,the-punisher-one-last-kill-2026-05-12,crossover,crossover,indirect,same_or_intended,probable,source_verified,Same current Marvel Television street-level branch.
work-relation-black-panther-2018-black-panther-wakanda-forever-2022-sequel,black-panther-2018,black-panther-wakanda-forever-2022,sequel,story,direct,same_or_intended,confirmed,source_verified,Wakanda sequel.
work-relation-black-panther-wakanda-forever-2022-ironheart-2025-spinoff,black-panther-wakanda-forever-2022,ironheart-2025,spinoff,story,strong,same_or_intended,probable,legacy_seed,Riri Williams introduced in Wakanda Forever.
work-relation-black-panther-2018-eyes-of-wakanda-2025-world-lore,black-panther-2018,eyes-of-wakanda-2025,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,Animated Wakandan historical stories; not a sequel.
work-relation-the-falcon-and-the-winter-soldier-2021-thunderbolts-new-avengers-2025-lead-in,the-falcon-and-the-winter-soldier-2021,thunderbolts-new-avengers-2025,lead_in,story,indirect,same_or_intended,probable,legacy_seed,Bucky Barnes and John Walker.
work-relation-ant-man-and-the-wasp-2018-thunderbolts-new-avengers-2025-lead-in,ant-man-and-the-wasp-2018,thunderbolts-new-avengers-2025,lead_in,story,indirect,same_or_intended,probable,legacy_seed,Ghost.
work-relation-the-falcon-and-the-winter-soldier-2021-captain-america-brave-new-world-2025-story-link,the-falcon-and-the-winter-soldier-2021,captain-america-brave-new-world-2025,story_link,story,strong,same_or_intended,probable,legacy_seed,Sam Wilson's Captain America arc.
work-relation-loki-s1-2021-loki-s2-2023-sequel,loki-s1-2021,loki-s2-2023,sequel,story,direct,same_or_intended,confirmed,source_verified,Season continuation.
work-relation-what-if-s1-2021-what-if-s2-2023-sequel,what-if-s1-2021,what-if-s2-2023,sequel,story,strong,same_or_intended,probable,source_verified,Season continuation.
work-relation-what-if-s2-2023-what-if-s3-2024-sequel,what-if-s2-2023,what-if-s3-2024,sequel,story,strong,same_or_intended,probable,legacy_seed,Season continuation.
work-relation-what-if-s1-2021-marvel-zombies-s1-2025-spinoff,what-if-s1-2021,marvel-zombies-s1-2025,spinoff,story,strong,same_or_intended,probable,legacy_seed,Marvel Zombies spins out of the zombie What If...? concept.
work-relation-the-fantastic-four-first-steps-2025-avengers-doomsday-2026-12-18-lead-in,the-fantastic-four-first-steps-2025,avengers-doomsday-2026-12-18,lead_in,story,direct,multiverse,confirmed,source_verified,"Kevin Feige explicitly says First Steps directly leads into Doomsday. First Steps is established in Earth-828, so the lead-in crosses continuity contexts; relation_scope remains story while continuity_scope is multiverse."
work-relation-thunderbolts-new-avengers-2025-the-fantastic-four-first-steps-2025-crossover,thunderbolts-new-avengers-2025,the-fantastic-four-first-steps-2025,crossover,crossover,direct,multiverse,confirmed,source_verified,"Thunderbolts* post-credit scene shows an extradimensional ship with the Fantastic Four 4 mark entering Earth-616. Direction encodes containing-work/release-reference flow, not chronological ordering of the First Steps main story."
work-relation-avengers-doomsday-2026-12-18-avengers-secret-wars-2027-12-17-story-link,avengers-doomsday-2026-12-18,avengers-secret-wars-2027-12-17,story_link,story,direct,same_or_intended,confirmed,legacy_seed,Officially paired Avengers event films.
work-relation-deadpool-2016-deadpool-2-2018-sequel,deadpool-2016,deadpool-2-2018,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Same Fox Deadpool continuity.
work-relation-deadpool-2-2018-deadpool-wolverine-2024-story-link,deadpool-2-2018,deadpool-wolverine-2024,story_link,story,strong,same_or_intended,probable,legacy_seed,Wade's film series continues.
work-relation-deadpool-wolverine-2024-avengers-doomsday-2026-12-18-crossover,deadpool-wolverine-2024,avengers-doomsday-2026-12-18,crossover,crossover,indirect,uncertain_return_continuity,probable,legacy_seed,"Feige says Deadpool & Wolverine scratched the surface of revisiting X-Men and Doomsday goes deeper. This supports a broad legacy-X-Men bridge, but does not establish that the same Deadpool/Wolverine variants physically cross into Doomsday."
work-relation-spider-man-2002-spider-man-2-2004-sequel,spider-man-2002,spider-man-2-2004,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Raimi trilogy.
work-relation-spider-man-2-2004-spider-man-3-2007-sequel,spider-man-2-2004,spider-man-3-2007,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Raimi trilogy.
work-relation-the-amazing-spider-man-2012-the-amazing-spider-man-2-2014-sequel,the-amazing-spider-man-2012,the-amazing-spider-man-2-2014,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Webb duology.
work-relation-spider-man-3-2007-spider-man-no-way-home-2021-crossover,spider-man-3-2007,spider-man-no-way-home-2021,crossover,crossover,direct,multiverse,confirmed,superseded,Tobey Maguire's Spider-Man physically enters the MCU universe in No Way Home; Marvel explicitly frames the returning Spider-Men and villains as a Multiverse crossover.
work-relation-the-amazing-spider-man-2-2014-spider-man-no-way-home-2021-crossover,the-amazing-spider-man-2-2014,spider-man-no-way-home-2021,crossover,crossover,direct,multiverse,confirmed,superseded,Andrew Garfield's Spider-Man physically enters the MCU universe in No Way Home; Marvel explicitly frames the returning Spider-Men and villains as a Multiverse crossover.
work-relation-venom-let-there-be-carnage-2021-spider-man-no-way-home-2021-crossover,venom-let-there-be-carnage-2021,spider-man-no-way-home-2021,crossover,crossover,direct,multiverse,confirmed,superseded,"Let There Be Carnage's post-credit transports Eddie Brock/Venom into the MCU; No Way Home's mid-credit follows them there and returns them, leaving a symbiote fragment behind."
work-relation-daredevil-s3-2018-daredevil-born-again-s1-2025-sequel,daredevil-s3-2018,daredevil-born-again-s1-2025,sequel,story,direct,same_or_intended,probable,legacy_seed,Matt/Fisk/Karen/Foggy continuity carried forward.
work-relation-daredevil-s2-2016-the-defenders-2017-crossover,daredevil-s2-2016,the-defenders-2017,crossover,crossover,direct,same_or_intended,probable,legacy_seed,Four Netflix hero branches converge in The Defenders.
work-relation-jessica-jones-s1-2015-the-defenders-2017-crossover,jessica-jones-s1-2015,the-defenders-2017,crossover,crossover,direct,same_or_intended,probable,legacy_seed,Four Netflix hero branches converge in The Defenders.
work-relation-luke-cage-s1-2016-the-defenders-2017-crossover,luke-cage-s1-2016,the-defenders-2017,crossover,crossover,direct,same_or_intended,probable,legacy_seed,Four Netflix hero branches converge in The Defenders.
work-relation-iron-fist-s1-2017-the-defenders-2017-crossover,iron-fist-s1-2017,the-defenders-2017,crossover,crossover,direct,same_or_intended,probable,legacy_seed,Four Netflix hero branches converge in The Defenders.
work-relation-the-defenders-2017-daredevil-s3-2018-aftermath,the-defenders-2017,daredevil-s3-2018,aftermath,story,strong,same_or_intended,probable,legacy_seed,Daredevil's post-Defenders story.
work-relation-daredevil-s2-2016-the-punisher-s1-2017-spinoff,daredevil-s2-2016,the-punisher-s1-2017,spinoff,story,strong,same_or_intended,probable,legacy_seed,Frank Castle introduced in Daredevil S2.
work-relation-blade-trinity-2004-deadpool-wolverine-2024-crossover,blade-trinity-2004,deadpool-wolverine-2024,crossover,crossover,indirect,uncertain_return_continuity,probable,legacy_seed,"Deadpool & Wolverine physically features Wesley Snipes as Blade in the Void and deliberately invokes the legacy film era. Current evidence does not require treating this Void Blade as the exact Blade: Trinity timeline individual, so exact return continuity remains unresolved."
work-relation-elektra-2005-deadpool-wolverine-2024-crossover,elektra-2005,deadpool-wolverine-2024,crossover,crossover,indirect,uncertain_return_continuity,probable,legacy_seed,"Deadpool & Wolverine physically features Jennifer Garner as Elektra in the Void and deliberately invokes the legacy film era. Exact identity with the Elektra (2005) timeline individual is not independently established, so exact return continuity remains unresolved."
work-relation-fantastic-four-rise-of-the-silver-surfer-2007-deadpool-wolverine-2024-crossover,fantastic-four-rise-of-the-silver-surfer-2007,deadpool-wolverine-2024,crossover,crossover,indirect,uncertain_return_continuity,probable,legacy_seed,"Deadpool & Wolverine physically features Chris Evans as Johnny Storm/Human Torch in the Void and invokes the Fox Fantastic Four legacy. Exact identity with the Rise of the Silver Surfer timeline individual is not independently established, so exact return continuity remains unresolved."
work-relation-x-men-the-animated-series-19921997-x-men-97-s1-2024-sequel,x-men-the-animated-series-19921997,x-men-97-s1-2024,sequel,story,direct,same_or_intended,probable,source_verified,Marvel states X-Men '97 explores new stories in the iconic '90s timeline of the original series.
work-relation-x-men-97-s1-2024-x-men-97-s2-2026-07-01-sequel,x-men-97-s1-2024,x-men-97-s2-2026-07-01,sequel,story,direct,same_or_intended,confirmed,source_verified,Season continuation.
work-relation-iron-man-3-2013-all-hail-the-king-2014-sequel,iron-man-3-2013,all-hail-the-king-2014,sequel,story,indirect,same_or_intended,probable,legacy_seed,Trevor Slattery follow-up.
work-relation-all-hail-the-king-2014-shang-chi-and-the-legend-of-the-ten-rings-2021-story-link,all-hail-the-king-2014,shang-chi-and-the-legend-of-the-ten-rings-2021,story_link,story,indirect,same_or_intended,probable,legacy_seed,Trevor Slattery and Ten Rings/Mandarin thread is revisited.
work-relation-the-avengers-2012-item-47-2012-sequel,the-avengers-2012,item-47-2012,sequel,story,direct,same_or_intended,probable,legacy_seed,Post-Avengers SHIELD cleanup story.
work-relation-captain-america-the-first-avenger-2011-agent-carter-one-shot-2013-story-link,captain-america-the-first-avenger-2011,agent-carter-one-shot-2013,story_link,story,indirect,same_or_intended,probable,legacy_seed,Peggy Carter continuation.
work-relation-iron-man-2-2010-iron-man-3-2013-sequel,iron-man-2-2010,iron-man-3-2013,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Iron Man trilogy direct franchise line.
work-relation-captain-america-the-first-avenger-2011-captain-america-the-winter-soldier-2014-sequel,captain-america-the-first-avenger-2011,captain-america-the-winter-soldier-2014,sequel,story,direct,same_or_intended,confirmed,source_verified,Captain America film line.
work-relation-captain-america-the-winter-soldier-2014-captain-america-civil-war-2016-sequel,captain-america-the-winter-soldier-2014,captain-america-civil-war-2016,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Captain America film line.
work-relation-thor-the-dark-world-2013-thor-ragnarok-2017-sequel,thor-the-dark-world-2013,thor-ragnarok-2017,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Thor film line.
work-relation-thor-ragnarok-2017-thor-love-and-thunder-2022-sequel,thor-ragnarok-2017,thor-love-and-thunder-2022,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Thor film line; Avengers events occur between.
work-relation-guardians-of-the-galaxy-vol-2-2017-the-guardians-of-the-galaxy-holiday-special-2022-story-link,guardians-of-the-galaxy-vol-2-2017,the-guardians-of-the-galaxy-holiday-special-2022,story_link,story,strong,same_or_intended,probable,legacy_seed,Guardians branch before Vol. 3.
work-relation-ant-man-2015-ant-man-and-the-wasp-2018-sequel,ant-man-2015,ant-man-and-the-wasp-2018,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Ant-Man film line.
work-relation-ant-man-and-the-wasp-2018-ant-man-and-the-wasp-quantumania-2023-sequel,ant-man-and-the-wasp-2018,ant-man-and-the-wasp-quantumania-2023,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Ant-Man film line; Endgame occurs between.
work-relation-spider-man-homecoming-2017-spider-man-far-from-home-2019-sequel,spider-man-homecoming-2017,spider-man-far-from-home-2019,sequel,story,direct,same_or_intended,confirmed,source_verified,MCU Spider-Man film line.
work-relation-doctor-strange-2016-doctor-strange-in-the-multiverse-of-madness-2022-sequel,doctor-strange-2016,doctor-strange-in-the-multiverse-of-madness-2022,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Doctor Strange film line.
work-relation-loki-s2-2023-deadpool-wolverine-2024-crossover,loki-s2-2023,deadpool-wolverine-2024,crossover,crossover,direct,multiverse,confirmed,source_verified,"Deadpool & Wolverine directly uses the TVA and its Minutemen; the official screenplay explicitly identifies them as upgraded since Loki. This is an institutional/multiverse continuation, not a Loki S2 plot sequel."
work-relation-i-am-groot-s1-2022-i-am-groot-s2-2023-sequel,i-am-groot-s1-2022,i-am-groot-s2-2023,sequel,story,strong,same_or_intended,probable,legacy_seed,Season continuation.
work-relation-your-friendly-neighborhood-spider-man-s1-2025-your-friendly-neighborhood-spider-man-s2-2026-sequel,your-friendly-neighborhood-spider-man-s1-2025,your-friendly-neighborhood-spider-man-s2-2026,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Marvel currently lists Season 2.
work-relation-daredevil-s1-2015-daredevil-s2-2016-sequel,daredevil-s1-2015,daredevil-s2-2016,sequel,story,direct,same_or_intended,confirmed,source_verified,Season continuation.
work-relation-jessica-jones-s1-2015-jessica-jones-s2-2018-sequel,jessica-jones-s1-2015,jessica-jones-s2-2018,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Season continuation.
work-relation-jessica-jones-s2-2018-jessica-jones-s3-2019-sequel,jessica-jones-s2-2018,jessica-jones-s3-2019,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Season continuation.
work-relation-luke-cage-s1-2016-luke-cage-s2-2018-sequel,luke-cage-s1-2016,luke-cage-s2-2018,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Season continuation.
work-relation-iron-fist-s1-2017-iron-fist-s2-2018-sequel,iron-fist-s1-2017,iron-fist-s2-2018,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Season continuation.
work-relation-the-punisher-s1-2017-the-punisher-s2-2019-sequel,the-punisher-s1-2017,the-punisher-s2-2019,sequel,story,direct,same_or_intended,confirmed,source_verified,Season continuation.
work-relation-x-men-2000-x2-x-men-united-2003-sequel,x-men-2000,x2-x-men-united-2003,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Original Fox X-Men trilogy.
work-relation-x2-x-men-united-2003-x-men-the-last-stand-2006-sequel,x2-x-men-united-2003,x-men-the-last-stand-2006,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Original Fox X-Men trilogy.
work-relation-x-men-first-class-2011-x-men-days-of-future-past-2014-crossover,x-men-first-class-2011,x-men-days-of-future-past-2014,crossover,crossover,strong,same_or_intended,probable,legacy_seed,Fox prequel timeline continues and intersects prior cast.
work-relation-x-men-days-of-future-past-2014-x-men-apocalypse-2016-sequel,x-men-days-of-future-past-2014,x-men-apocalypse-2016,sequel,story,strong,same_or_intended,probable,legacy_seed,Revised/prequel timeline.
work-relation-x-men-apocalypse-2016-dark-phoenix-2019-sequel,x-men-apocalypse-2016,dark-phoenix-2019,sequel,story,strong,same_or_intended,probable,legacy_seed,Revised/prequel timeline.
work-relation-x-men-origins-wolverine-2009-the-wolverine-2013-sequel,x-men-origins-wolverine-2009,the-wolverine-2013,sequel,story,strong,same_or_intended,probable,legacy_seed,Same Wolverine film branch; Fox continuity is affected by later time travel.
work-relation-the-wolverine-2013-logan-2017-sequel,the-wolverine-2013,logan-2017,sequel,story,strong,same_or_intended,probable,legacy_seed,Character/franchise lineage; avoid claiming a simple unbroken timeline.
work-relation-blade-1998-1998-blade-ii-2002-sequel,blade-1998-1998,blade-ii-2002,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Blade legacy trilogy.
work-relation-blade-ii-2002-blade-trinity-2004-sequel,blade-ii-2002,blade-trinity-2004,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Blade legacy trilogy.
work-relation-daredevil-2003-elektra-2005-spinoff,daredevil-2003,elektra-2005,spinoff,story,strong,same_or_intended,probable,legacy_seed,Elektra spins out of the 2003 Daredevil film continuity.
work-relation-fantastic-four-2005-fantastic-four-rise-of-the-silver-surfer-2007-sequel,fantastic-four-2005,fantastic-four-rise-of-the-silver-surfer-2007,sequel,story,direct,same_or_intended,confirmed,legacy_seed,Fox Fantastic Four film line.
work-relation-the-incredible-hulk-2008-the-avengers-2012-crossover,the-incredible-hulk-2008,the-avengers-2012,crossover,story,indirect,same_or_intended,probable,legacy_seed,ブルース・バナー／ハルクが次にアベンジャーズの主要メンバーとして合流。
work-relation-the-incredible-hulk-2008-the-consultant-2011-story-link,the-incredible-hulk-2008,the-consultant-2011,story_link,story,direct,same_or_intended,probable,legacy_seed,ワンショットが『インクレディブル・ハルク』終盤のロス／スターク周辺を補完。
work-relation-the-consultant-2011-the-avengers-2012-story-link,the-consultant-2011,the-avengers-2012,story_link,story,indirect,same_or_intended,probable,legacy_seed,コールソン／フューリー側のアベンジャーズ計画を補助するワンショット。
work-relation-iron-man-2-2010-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-story-link,iron-man-2-2010,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,story_link,story,indirect,same_or_intended,probable,legacy_seed,『アイアンマン2』後、コールソンがニューメキシコへ向かう途中の出来事。
work-relation-a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011-thor-2011-story-link,a-funny-thing-happened-on-the-way-to-thor-s-hammer-2011,thor-2011,story_link,story,direct,same_or_intended,probable,legacy_seed,コールソンがニューメキシコへ向かう流れが『マイティ・ソー』へ接続。
work-relation-iron-man-2-2010-thor-2011-world-lore,iron-man-2-2010,thor-2011,world_lore,world_lore,indirect,same_or_intended,probable,legacy_seed,『アイアンマン2』終盤からコールソンのニューメキシコ任務へ連続。
work-relation-thor-the-dark-world-2013-guardians-of-the-galaxy-2014-story-link,thor-the-dark-world-2013,guardians-of-the-galaxy-2014,story_link,story,indirect,same_or_intended,probable,legacy_seed,エーテルをコレクターへ預ける流れが宇宙側・インフィニティ・ストーン枝へ接続。
work-relation-doctor-strange-2016-thor-ragnarok-2017-story-link,doctor-strange-2016,thor-ragnarok-2017,story_link,story,indirect,same_or_intended,probable,legacy_seed,ストレンジがソーとロキのオーディン捜索に関与。
work-relation-avengers-age-of-ultron-2015-black-panther-2018-world-lore,avengers-age-of-ultron-2015,black-panther-2018,world_lore,story,indirect,same_or_intended,probable,legacy_seed,ユリシーズ・クロウとワカンダ由来のヴィブラニウム設定が『ブラックパンサー』へ続く。
work-relation-captain-america-civil-war-2016-black-panther-2018-story-link,captain-america-civil-war-2016,black-panther-2018,story_link,story,direct,same_or_intended,probable,legacy_seed,ティ・チャラ／ワカンダのMCU初登場から単独作へ。
work-relation-captain-america-civil-war-2016-spider-man-homecoming-2017-story-link,captain-america-civil-war-2016,spider-man-homecoming-2017,story_link,story,direct,same_or_intended,probable,legacy_seed,ピーターのアベンジャーズ参加経験を受けて『ホームカミング』が始まる。
work-relation-captain-america-civil-war-2016-black-widow-2021-aftermath,captain-america-civil-war-2016,black-widow-2021,aftermath,story,direct,same_or_intended,probable,legacy_seed,『ブラック・ウィドウ』本編は『シビル・ウォー』直後のナターシャを描く。
work-relation-black-panther-2018-avengers-infinity-war-2018-crossover,black-panther-2018,avengers-infinity-war-2018,crossover,story,indirect,same_or_intended,probable,legacy_seed,ワカンダと主要人物が『インフィニティ・ウォー』終盤の戦いへ直接合流。
work-relation-captain-marvel-2019-avengers-endgame-2019-crossover,captain-marvel-2019,avengers-endgame-2019,crossover,story,direct,same_or_intended,probable,legacy_seed,キャロルが『エンドゲーム』でアベンジャーズ側へ合流。
work-relation-avengers-endgame-2019-wandavision-2021-story-link,avengers-endgame-2019,wandavision-2021,story_link,story,indirect,same_or_intended,probable,legacy_seed,ヴィジョン喪失と『エンドゲーム』後のワンダが『ワンダヴィジョン』へ続く。
work-relation-avengers-infinity-war-2018-wandavision-2021-story-link,avengers-infinity-war-2018,wandavision-2021,story_link,story,direct,same_or_intended,probable,legacy_seed,ヴィジョンの死が『ワンダヴィジョン』の中心的前提。
work-relation-avengers-age-of-ultron-2015-wandavision-2021-story-link,avengers-age-of-ultron-2015,wandavision-2021,story_link,story,direct,same_or_intended,probable,legacy_seed,ワンダとヴィジョンのMCU上の起点。
