release_id,work_id,territory,release_kind,release_date,release_precision,status,certainty,verification_status,notes
release-echo-2024-primary,echo-2024,unknown,streaming,2024-01-09,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-elektra-2005-primary,elektra-2005,US,theatrical,2005-01-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-eternals-2021-primary,eternals-2021,US,theatrical,2021-11-05,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-eyes-of-wakanda-2025-primary,eyes-of-wakanda-2025,unknown,streaming,2025-08-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-fantastic-four-2005-primary,fantastic-four-2005,US,theatrical,2005-07-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-fantastic-four-rise-of-the-silver-surfer-2007-primary,fantastic-four-rise-of-the-silver-surfer-2007,US,theatrical,2007-06-15,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-guardians-of-the-galaxy-2014-primary,guardians-of-the-galaxy-2014,US,theatrical,2014-08-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-guardians-of-the-galaxy-vol-2-2017-primary,guardians-of-the-galaxy-vol-2-2017,US,theatrical,2017-05-05,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-guardians-of-the-galaxy-vol-3-2023-primary,guardians-of-the-galaxy-vol-3-2023,US,theatrical,2023-05-05,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-hawkeye-2021-primary,hawkeye-2021,unknown,streaming,2021-11-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-i-am-groot-s1-2022-primary,i-am-groot-s1-2022,unknown,streaming,2022-08-10,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-i-am-groot-s2-2023-primary,i-am-groot-s2-2023,unknown,streaming,2023-09-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-inhumans-2017-primary,inhumans-2017,unknown,imax_series_start,2017-09-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-iron-fist-s1-2017-primary,iron-fist-s1-2017,unknown,streaming,2017-03-17,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-iron-fist-s2-2018-primary,iron-fist-s2-2018,unknown,streaming,2018-09-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-iron-man-2-2010-primary,iron-man-2-2010,US,theatrical,2010-05-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-iron-man-2008-primary,iron-man-2008,US,theatrical,2008-05-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-iron-man-3-2013-primary,iron-man-3-2013,US,theatrical,2013-05-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-ironheart-2025-primary,ironheart-2025,unknown,streaming,2025-06-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-item-47-2012-primary,item-47-2012,unknown,home_video,2012-09-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-jessica-jones-s1-2015-primary,jessica-jones-s1-2015,unknown,streaming,2015-11-20,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-jessica-jones-s2-2018-primary,jessica-jones-s2-2018,unknown,streaming,2018-03-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-jessica-jones-s3-2019-primary,jessica-jones-s3-2019,unknown,streaming,2019-06-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-kraven-the-hunter-2024-primary,kraven-the-hunter-2024,US,theatrical,2024-12-13,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-logan-2017-primary,logan-2017,US,theatrical,2017-03-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-loki-s1-2021-primary,loki-s1-2021,unknown,streaming,2021-06-09,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-loki-s2-2023-primary,loki-s2-2023,unknown,streaming,2023-10-05,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-luke-cage-s1-2016-primary,luke-cage-s1-2016,unknown,streaming,2016-09-30,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-luke-cage-s2-2018-primary,luke-cage-s2-2018,unknown,streaming,2018-06-22,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-madame-web-2024-primary,madame-web-2024,US,theatrical,2024-02-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-marvel-s-agent-carter-series-20152016-primary,marvel-s-agent-carter-series-20152016,US,series_start,2015-01-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-marvel-zombies-s1-2025-primary,marvel-zombies-s1-2025,unknown,streaming,2025-09-24,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-moon-knight-2022-primary,moon-knight-2022,unknown,streaming,2022-03-30,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-morbius-2022-primary,morbius-2022,US,theatrical,2022-04-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-ms-marvel-2022-primary,ms-marvel-2022,unknown,streaming,2022-06-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-runaways-20172019-primary,runaways-20172019,US,series_start,2017-11-21,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-secret-invasion-2023-primary,secret-invasion-2023,unknown,streaming,2023-06-21,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-shang-chi-and-the-legend-of-the-ten-rings-2021-primary,shang-chi-and-the-legend-of-the-ten-rings-2021,US,theatrical,2021-09-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-she-hulk-attorney-at-law-2022-primary,she-hulk-attorney-at-law-2022,unknown,streaming,2022-08-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-2-2004-primary,spider-man-2-2004,US,theatrical,2004-06-30,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-2002-primary,spider-man-2002,US,theatrical,2002-05-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-3-2007-primary,spider-man-3-2007,US,theatrical,2007-05-04,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-across-the-spider-verse-2023-primary,spider-man-across-the-spider-verse-2023,US,theatrical,2023-06-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-beyond-the-spider-verse-tba-primary,spider-man-beyond-the-spider-verse-tba,US,theatrical,2027-06-18,day,announced,confirmed,source_verified,"U.S. theatrical release date verified against Sony Group's official release-schedule record; migrated release fields and day precision retained."
release-spider-man-brand-new-day-2026-07-31-jp,spider-man-brand-new-day-2026-07-31,JP,theatrical,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本劇場公開（日米同時）'. Original japan_date='2026年7月31日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-spider-man-brand-new-day-2026-07-31-primary,spider-man-brand-new-day-2026-07-31,US,theatrical,2026-07-31,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-far-from-home-2019-primary,spider-man-far-from-home-2019,US,theatrical,2019-07-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-homecoming-2017-primary,spider-man-homecoming-2017,US,theatrical,2017-07-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-into-the-spider-verse-2018-primary,spider-man-into-the-spider-verse-2018,US,theatrical,2018-12-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-spider-man-no-way-home-2021-primary,spider-man-no-way-home-2021,US,theatrical,2021-12-17,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-amazing-spider-man-2-2014-primary,the-amazing-spider-man-2-2014,US,theatrical,2014-05-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-amazing-spider-man-2012-primary,the-amazing-spider-man-2012,US,theatrical,2012-07-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-avengers-2012-primary,the-avengers-2012,US,theatrical,2012-05-04,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-consultant-2011-primary,the-consultant-2011,unknown,home_video,2011-09-13,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-defenders-2017-primary,the-defenders-2017,unknown,streaming,2017-08-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-falcon-and-the-winter-soldier-2021-primary,the-falcon-and-the-winter-soldier-2021,unknown,streaming,2021-03-19,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-fantastic-four-first-steps-2025-jp,the-fantastic-four-first-steps-2025,JP,theatrical,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本劇場公開（日米同時）'. Original japan_date='2025年7月25日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-the-fantastic-four-first-steps-2025-primary,the-fantastic-four-first-steps-2025,US,theatrical,2025-07-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-guardians-of-the-galaxy-holiday-special-2022-primary,the-guardians-of-the-galaxy-holiday-special-2022,unknown,special,2022-11-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-incredible-hulk-2008-primary,the-incredible-hulk-2008,US,theatrical,2008-06-13,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-marvels-2023-primary,the-marvels-2023,US,theatrical,2023-11-10,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-new-mutants-2020-primary,the-new-mutants-2020,US,theatrical,2020-08-28,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-punisher-one-last-kill-2026-05-12-jp,the-punisher-one-last-kill-2026-05-12,JP,streaming,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='配信作品（Marvel公式の世界リリース日）'. Original japan_date='2026年5月12日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-the-punisher-one-last-kill-2026-05-12-primary,the-punisher-one-last-kill-2026-05-12,unknown,streaming,2026-05-12,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-punisher-s1-2017-primary,the-punisher-s1-2017,unknown,streaming,2017-11-17,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-punisher-s2-2019-primary,the-punisher-s2-2019,unknown,streaming,2019-01-18,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-the-wolverine-2013-primary,the-wolverine-2013,US,theatrical,2013-07-26,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-thor-2011-primary,thor-2011,US,theatrical,2011-05-06,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-thor-love-and-thunder-2022-primary,thor-love-and-thunder-2022,US,theatrical,2022-07-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-thor-ragnarok-2017-primary,thor-ragnarok-2017,US,theatrical,2017-11-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-thor-the-dark-world-2013-primary,thor-the-dark-world-2013,US,theatrical,2013-11-08,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-thunderbolts-new-avengers-2025-primary,thunderbolts-new-avengers-2025,US,theatrical,2025-05-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-venom-2018-primary,venom-2018,US,theatrical,2018-10-05,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-venom-let-there-be-carnage-2021-primary,venom-let-there-be-carnage-2021,US,theatrical,2021-10-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-venom-the-last-dance-2024-primary,venom-the-last-dance-2024,US,theatrical,2024-10-25,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-visionquest-2026-10-14-primary,visionquest-2026-10-14,unknown,streaming,2026-10-14,day,announced,confirmed,source_verified,"Disney+ premiere date verified against Marvel Television's official announcement; territory remains unknown and day precision retained."
release-wandavision-2021-primary,wandavision-2021,unknown,streaming,2021-01-15,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-werewolf-by-night-2022-primary,werewolf-by-night-2022,unknown,special,2022-10-07,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-what-if-s1-2021-primary,what-if-s1-2021,unknown,streaming,2021-08-11,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-what-if-s2-2023-primary,what-if-s2-2023,unknown,streaming,2023-12-22,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-what-if-s3-2024-primary,what-if-s3-2024,unknown,streaming,2024-12-22,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-wonder-man-s1-2026-jp,wonder-man-s1-2026,JP,streaming,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本Disney+公式配信日'. Original japan_date='2026年1月28日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-wonder-man-s1-2026-primary,wonder-man-s1-2026,unknown,streaming,2026-01-27,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-wonder-man-s2-tba-primary,wonder-man-s2-tba,unknown,undated,,none,announced,unknown,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-2000-primary,x-men-2000,US,theatrical,2000-07-14,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-97-s1-2024-primary,x-men-97-s1-2024,unknown,streaming,2024-03-20,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-97-s2-2026-07-01-jp,x-men-97-s2-2026-07-01,JP,streaming,,none,released,confirmed,legacy_seed,"Migrated from works.csv japan_date metadata as a legacy seed; evidence-backed Japanese release audit remains pending. Original japan_type='日本Disney+独占配信開始'. Original japan_date='2026年7月1日' was not copied because it is not an ISO YYYY-MM-DD, YYYY-MM, or YYYY value."
release-x-men-97-s2-2026-07-01-primary,x-men-97-s2-2026-07-01,unknown,streaming,2026-07-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-apocalypse-2016-primary,x-men-apocalypse-2016,US,theatrical,2016-05-27,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-days-of-future-past-2014-primary,x-men-days-of-future-past-2014,US,theatrical,2014-05-23,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-first-class-2011-primary,x-men-first-class-2011,US,theatrical,2011-06-03,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-origins-wolverine-2009-primary,x-men-origins-wolverine-2009,US,theatrical,2009-05-01,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-the-animated-series-19921997-primary,x-men-the-animated-series-19921997,US,series_start,1992-10-31,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x-men-the-last-stand-2006-primary,x-men-the-last-stand-2006,US,theatrical,2006-05-26,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-x2-x-men-united-2003-primary,x2-x-men-united-2003,US,theatrical,2003-05-02,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
release-your-friendly-neighborhood-spider-man-s1-2025-primary,your-friendly-neighborhood-spider-man-s1-2025,unknown,streaming,2025-01-29,day,released,confirmed,legacy_seed,Migrated from works.csv release metadata as a legacy seed; evidence-backed release audit remains pending.
